date,market,matchup,pick,price_taken,result
2026-07-26,pitcher_strikeouts,"Chicago Cubs@Pittsburgh Pirates","Braxton Ashcraft Over 5.5",-130,,not_tracked,,,1.22,L,official_k
2026-07-26,game_total,"Kansas City Royals@Detroit Tigers","Under 9",-105,,not_tracked,100,,-2.5,PUSH,official_total
2026-07-26,pitcher_strikeouts,"Kansas City Royals@Detroit Tigers","Luinder Avila Over 3.5",-154,,not_tracked,,,0.7,L,official_k
2026-07-26,game_total,"Houston Astros@Chicago White Sox","Over 9",100,,not_tracked,84,,1.9,W,official_total
2026-07-26,pitcher_strikeouts,"Los Angeles Dodgers@New York Mets","Freddy Peralta Under 5.5",-138,,not_tracked,,,-0.78,W,official_k
2026-07-26,pitcher_strikeouts,"Athletics@Minnesota Twins","Connor Prielipp Over 4.5",115,,not_tracked,,,1.32,W,official_k
2026-07-26,pitcher_strikeouts,"Athletics@Minnesota Twins","Jeffrey Springs Over 3.5",-156,,not_tracked,,,0.73,L,official_k
2026-07-26,pitcher_strikeouts,"Colorado Rockies@Milwaukee Brewers","Jacob Misiorowski Over 8.5",100,,not_tracked,,,1.41,W,official_k
2026-07-26,game_total,"Los Angeles Angels@San Francisco Giants","Under 8.5",-109,,not_tracked,89,,-1.8,W,official_total
2026-07-27,game_total,"Arizona Diamondbacks@Pittsburgh Pirates","Over 9",-102,,not_tracked,88,,2.2,L,official_total
2026-07-27,pitcher_strikeouts,"Philadelphia Phillies@Miami Marlins","Tyler Phillips Under 4.5",-170,,not_tracked,,,-1.01,L,official_k
2026-07-27,pitcher_strikeouts,"Philadelphia Phillies@Miami Marlins","Zack Wheeler Under 7.5",-130,,not_tracked,,,-1.35,W,official_k
2026-07-27,pitcher_strikeouts,"Toronto Blue Jays@Washington Nationals","Andrew Alvarez Over 3.5",-104,,not_tracked,,,0.88,L,official_k
2026-07-27,pitcher_strikeouts,"New York Yankees@Chicago White Sox","Max Fried Over 5.5",102,,not_tracked,,,0.98,L,official_k
2026-07-27,pitcher_strikeouts,"Boston Red Sox@Athletics","Payton Tolle Over 5.5",-146,,not_tracked,,,1.41,W,official_k
2026-07-27,pitcher_strikeouts,"Boston Red Sox@Athletics","Jack Perkins Over 4.5",-134,,not_tracked,,,0.79,L,official_k
2026-07-28,pitcher_strikeouts,"Cleveland Guardians@Cincinnati Reds","Chase Burns Under 6.5",-125,,not_tracked,,,-0.94,W,official_k
2026-07-28,pitcher_strikeouts,"Baltimore Orioles@Detroit Tigers","Dean Kremer Over 4.5",-140,,not_tracked,,,1.21,L,official_k
2026-07-28,pitcher_strikeouts,"Texas Rangers@Tampa Bay Rays","Griffin Jax Under 5.5",-121,,not_tracked,,,-1.25,L,official_k
2026-07-28,pitcher_strikeouts,"Cleveland Guardians@Cincinnati Reds","Gavin Williams Over 7.5",-130,,not_tracked,,,0.9,W,official_k
2026-07-28,game_total,"New York Yankees@Chicago White Sox","Over 7.5",-104,,not_tracked,94,,3.4,L,official_total
2026-07-28,pitcher_strikeouts,"Toronto Blue Jays@Washington Nationals","Shane Bieber Under 4.5",-164,,not_tracked,,,-1.31,W,official_k
2026-07-28,pitcher_strikeouts,"Houston Astros@Los Angeles Angels","Peter Lambert Over 5.5",108,,not_tracked,,,0.71,W,official_k
2026-07-29,game_total,"Arizona Diamondbacks@Pittsburgh Pirates","Over 8.5",-117,,not_tracked,91,,2.4,L,official_total
2026-07-29,pitcher_strikeouts,"Milwaukee Brewers@San Francisco Giants","Logan Webb Under 5.5",-135,,not_tracked,,,-1,W,official_k
2026-07-29,pitcher_strikeouts,"Texas Rangers@Tampa Bay Rays","MacKenzie Gore Under 5.5",-142,,not_tracked,,,-1.33,L,official_k
2026-07-29,pitcher_strikeouts,"Cleveland Guardians@Cincinnati Reds","Joey Cantillo Under 6.5",-158,,not_tracked,,,-0.84,L,official_k
2026-07-29,pitcher_strikeouts,"New York Yankees@Chicago White Sox","Davis Martin Over 4.5",-146,,not_tracked,,,0.88,W,official_k
2026-07-29,pitcher_strikeouts,"Kansas City Royals@Minnesota Twins","Joe Ryan Under 6.5",-126,,not_tracked,,,-0.7,W,official_k
2026-07-29,pitcher_strikeouts,"Chicago Cubs@St. Louis Cardinals","Matthew Boyd Under 4.5",-124,,not_tracked,,,-0.85,L,official_k
2026-07-29,pitcher_strikeouts,"Houston Astros@Los Angeles Angels","Grayson Rodriguez Under 4.5",-148,,not_tracked,,,-1.38,L,official_k
2026-07-29,pitcher_strikeouts,"Boston Red Sox@Athletics","Jacob Lopez Under 4.5",-119,,not_tracked,,,-1.54,L,official_k
2026-07-29,pitcher_strikeouts,"Seattle Mariners@Los Angeles Dodgers","Eric Lauer Under 4.5",-164,,not_tracked,,,-1.17,W,official_k
2026-07-30,pitcher_strikeouts,"New York Yankees@Chicago White Sox","Ryan Weathers Over 6.5",124,,not_tracked,,,0.71,L,official_k
2026-07-30,pitcher_strikeouts,"Washington Nationals@Atlanta Braves","Jake Irvin Over 3.5",-118,,not_tracked,,,1.62,L,official_k
2026-07-31,pitcher_strikeouts,"Pittsburgh Pirates@Cincinnati Reds","Paul Skenes Over 7.5",-138,,not_tracked,,,0.96,L,official_k
2026-07-31,pitcher_strikeouts,"Arizona Diamondbacks@Cleveland Guardians","Tanner Bibee Under 4.5",-119,,not_tracked,,,-0.86,W,official_k
2026-07-31,pitcher_strikeouts,"Chicago White Sox@Tampa Bay Rays","Erick Fedde Under 3.5",-151,,not_tracked,,,-0.9,L,official_k
2026-07-31,pitcher_strikeouts,"Chicago White Sox@Tampa Bay Rays","Nick Martinez Under 4.5",-133,,not_tracked,,,-0.82,W,official_k
2026-08-01,pitcher_strikeouts,"Pittsburgh Pirates@Cincinnati Reds","Braxton Ashcraft Over 6.5",-107,,not_tracked,,,0.89,L,official_k
2026-08-01,pitcher_strikeouts,"Pittsburgh Pirates@Cincinnati Reds","Andrew Abbott Under 5.5",-134,,not_tracked,,,-1.03,W,official_k
2026-08-01,pitcher_strikeouts,"Arizona Diamondbacks@Cleveland Guardians","Parker Messick Under 4.5",134,,not_tracked,,,-1.32,L,official_k
2026-08-01,pitcher_strikeouts,"Washington Nationals@Atlanta Braves","Miles Mikolas Under 2.5",-115,,not_tracked,,,-0.77,L,official_k
2026-08-02,pitcher_strikeouts,"Washington Nationals@Atlanta Braves","JR Ritchie Under 5.5",-120,,not_tracked,,,-1.42,W,official_k
2026-08-02,pitcher_strikeouts,"St. Louis Cardinals@Toronto Blue Jays","Matthew Liberatore Under 6.5",-135,,not_tracked,,,-2.49,L,official_k
2026-08-02,pitcher_strikeouts,"Chicago White Sox@Tampa Bay Rays","Griffin Jax Over 6.5",190,,not_tracked,,,-1.47,W,official_k
2026-08-02,pitcher_strikeouts,"Miami Marlins@New York Mets","Sandy Alcantara Under 5.5",-125,,not_tracked,,,-0.81,W,official_k
2026-08-02,pitcher_strikeouts,"Pittsburgh Pirates@Cincinnati Reds","Chase Burns Over 5.5",-130,,not_tracked,,,0.97,W,official_k
2026-08-02,pitcher_strikeouts,"New York Yankees@Chicago Cubs","Gerrit Cole Under 6.5",-121,,not_tracked,,,-0.73,W,official_k
2026-08-02,pitcher_strikeouts,"Milwaukee Brewers@Los Angeles Angels","Jacob Misiorowski Under 9.5",-128,,not_tracked,,,-1.01,L,official_k
2026-08-02,pitcher_strikeouts,"Philadelphia Phillies@Baltimore Orioles","Zack Wheeler Under 7.5",120,,not_tracked,,,-1.44,W,official_k
2026-08-02,moneyline,"Detroit Tigers@Athletics","Detroit Tigers",-108,,not_tracked,82,0.7358,0.2248,W,win_needs_more_sample
2026-08-02,pitcher_strikeouts,"San Francisco Giants@San Diego Padres","Landen Roupp Over 4.5",-137,,not_tracked,,,0.96,W,official_k
2026-08-03,pitcher_strikeouts,"St. Louis Cardinals@New York Yankees","Cam Schlittler Over 6.5",-148,,not_tracked,,,0.7,L,official_k
2026-08-03,pitcher_strikeouts,"Pittsburgh Pirates@Milwaukee Brewers","Brandon Sproat Over 5.5",108,,not_tracked,,,0.73,L,official_k
2026-08-03,pitcher_strikeouts,"Los Angeles Dodgers@Chicago Cubs","Matthew Boyd Under 4.5",112,,not_tracked,,,-0.87,W,official_k
2026-08-03,pitcher_strikeouts,"San Francisco Giants@Texas Rangers","Logan Webb Over 4.5",-150,,not_tracked,,,1.37,W,official_k
2026-08-03,pitcher_strikeouts,"San Francisco Giants@Texas Rangers","Cal Quantrill Under 3.5",-103,,not_tracked,,,-0.77,L,official_k
2026-08-03,pitcher_strikeouts,"Toronto Blue Jays@Houston Astros","Shane Bieber Under 4.5",-165,,not_tracked,,,-1.89,L,official_k
2026-08-03,pitcher_strikeouts,"Tampa Bay Rays@Colorado Rockies","Ian Seymour Over 4.5",-146,,not_tracked,,,0.84,W,official_k
2026-08-03,pitcher_strikeouts,"San Diego Padres@Arizona Diamondbacks","Brandon Pfaadt Under 4.5",-175,,not_tracked,,,-1.01,W,official_k
2026-08-04,pitcher_strikeouts,"Los Angeles Angels@Baltimore Orioles","Grayson Rodriguez Under 5.5",-154,,not_tracked,,,-1.58,L,official_k
2026-08-04,pitcher_strikeouts,"Los Angeles Angels@Baltimore Orioles","Cade Povich Under 4.5",102,,not_tracked,,,-1.01,L,official_k
2026-08-04,pitcher_strikeouts,"Athletics@Cincinnati Reds","Brady Singer Under 4.5",106,,not_tracked,,,-1.04,L,official_k
2026-08-04,pitcher_strikeouts,"St. Louis Cardinals@New York Yankees","Hunter Dobbins Over 3.5",-160,,not_tracked,,,1.97,W,official_k
