date,pitcher,line,over_price,under_price,game,game_pk,role,expected_innings,bullpen_game,pitching_plan_reported,books,k_rate_season,recent_form_starts,recent_form_bf,bf_per_ip,recent_form_k_rate,recent_form_weight,opp_k_source,opp_lineup_k,opp_lineup_k_weighted,opp_lineup_k_resolved,opp_team_season_k,league_lineup_k,whiff_leverage,actual_k,ou_result,lean,lean_result,projection_raw,calibration_band,k_rate_used,opp_k_adjustment,calibration_bias,error_raw,abs_error_raw,error_corrected,abs_error_corrected,projection
8/3/2026,Michael King,4.5,,,,,,,,,,,,,,,,,,,,,,,5,O,0.59,,5.09,<6,,,,-0.09,0.09,-0.09,0.09,5.09
8/3/2026,Michael Lorenzen,3.5,125,-170,,,,,,,,,,,,,,,,,,,,,0,U,0.84,,2.66,<6,,,,-2.66,2.66,-2.66,2.66,2.66
8/3/2026,Michael McGreevy,4.5,,,,,,,,,,,,,,,,,,,,,,,5,O,0.07,,4.57,<6,,,,0.43,0.43,0.43,0.43,4.57
8/3/2026,Shane Bieber,4.5,,,,,,,,,,,,,,,,,,,,,,,6,O,1.39,L,3.11,<6,,,,2.89,2.89,2.89,2.89,3.11
8/4/2026,Grayson Rodriguez,4.5,117,110,,,,,,,,,,,,,,,,,,,,,6,O,0.06,,4.56,<6,,,,1.44,1.44,1.44,1.44,4.56
8/4/2026,Cade Povich,4.5,-118,-110,,,,,,,,,,,,,,,,,,,,,7,O,0.39,,4.89,<6,,,,2.11,2.11,2.11,2.11,4.89
8/4/2026,Sean Manaea,4.5,,,,,,,,,,,,,,,,,,,,,,,7,O,1.05,W,5.55,<6,,,,1.45,1.45,1.45,1.45,5.55
8/4/2026,Joey Cantillo,5.5,,,,,,,,,,,,,,,,,,,,,,,5,U,0.04,,5.54,<6,,,,-0.54,0.54,-0.54,0.54,5.54
8/4/2026,J.T. Ginn,4.5,-105,-125,,,,,,,,,,,,,,,,,,,,,5,O,2.42,W,6.92,6-7,,,,-1.92,1.92,-1.92,1.92,6.92
8/4/2026,Brady Singer,4.5,-105,-125,,,,,,,,,,,,,,,,,,,,,6,O,0.79,,3.71,<6,,,,2.29,2.29,2.29,2.29,3.71
