date,gamePk,model_version,matchup,model_side,status,model_prob,market_prob,lab_score,best_price,result
7/25/2026,822704,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ Washington Nationals,Washington Nationals,pass,0.5062,0.4702,37,110,W
7/25/2026,822869,moneyline-v2-plus-runs-v1,Seattle Mariners @ Texas Rangers,Seattle Mariners,pass,0.5379,0.4963,38,-102,L
7/25/2026,822948,moneyline-v2-plus-runs-v1,Cleveland Guardians @ Tampa Bay Rays,Tampa Bay Rays,pass,0.6728,0.5521,57,-130,W
7/25/2026,823027,moneyline-v2-plus-runs-v1,Cincinnati Reds @ St. Louis Cardinals,Cincinnati Reds,pass,0.5491,0.4507,49,118,L
7/25/2026,823197,moneyline-v2-plus-runs-v1,Los Angeles Angels @ San Francisco Giants,Los Angeles Angels,pass,0.5003,0.4568,51,115,L
7/25/2026,823355,moneyline-v2-plus-runs-v1,Chicago Cubs @ Pittsburgh Pirates,Pittsburgh Pirates,pass,0.5685,0.5303,41,-120,L
7/25/2026,823435,moneyline-v2-plus-runs-v1,New York Yankees @ Philadelphia Phillies,New York Yankees,pass,0.6098,0.4068,51,140,W
7/25/2026,823600,moneyline-v2-plus-runs-v1,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,pass,0.6641,0.5787,58,-145,W
7/25/2026,823758,moneyline-v2-plus-runs-v1,Colorado Rockies @ Milwaukee Brewers,Milwaukee Brewers,pass,0.7132,0.718,60,-265,W
7/25/2026,823841,moneyline-v2-plus-runs-v1,San Diego Padres @ Miami Marlins,Miami Marlins,pass,0.5068,0.5386,56,-125,L
7/25/2026,824244,moneyline-v2-plus-runs-v1,Kansas City Royals @ Detroit Tigers,Detroit Tigers,watchlist,0.6689,0.5928,69,-152,L
7/25/2026,824571,moneyline-v2-plus-runs-v1,Houston Astros @ Chicago White Sox,Chicago White Sox,pass,0.6531,0.5132,61,-108,L
7/25/2026,824734,moneyline-v2-plus-runs-v1,Toronto Blue Jays @ Boston Red Sox,Boston Red Sox,pass,0.6924,0.5545,47,-136,L
7/25/2026,824811,moneyline-v2-plus-runs-v1,Atlanta Braves @ Baltimore Orioles,Baltimore Orioles,pass,0.5787,0.5083,45,-109,W
7/26/2026,822706,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ Washington Nationals,Arizona Diamondbacks,pass,0.5646,0.5133,61,-110,L
7/26/2026,822870,moneyline-v2-plus-runs-v1,Seattle Mariners @ Texas Rangers,Texas Rangers,pass,0.5464,0.5046,48,-105,L
7/26/2026,822950,moneyline-v2-plus-runs-v1,Cleveland Guardians @ Tampa Bay Rays,Tampa Bay Rays,pass,0.6243,0.532,51,-118,W
7/26/2026,823028,moneyline-v2-plus-runs-v1,Cincinnati Reds @ St. Louis Cardinals,St. Louis Cardinals,pass,0.5161,0.5503,34,-129,L
7/26/2026,823194,moneyline-v2-plus-runs-v1,Los Angeles Angels @ San Francisco Giants,San Francisco Giants,pass,0.5771,0.4948,45,-102,L
7/26/2026,823354,moneyline-v2-plus-runs-v1,Chicago Cubs @ Pittsburgh Pirates,Chicago Cubs,pass,0.5175,0.4587,53,112,L
7/26/2026,823433,moneyline-v2-plus-runs-v1,New York Yankees @ Philadelphia Phillies,New York Yankees,pass,0.5498,0.3586,25,175,L
7/26/2026,823599,moneyline-v2-plus-runs-v1,Los Angeles Dodgers @ New York Mets,Los Angeles Dodgers,pass,0.6747,0.5749,54,-141,L
7/26/2026,823678,moneyline-v2-plus-runs-v1,Athletics @ Minnesota Twins,Minnesota Twins,pass,0.6823,0.5885,56,-150,W
7/26/2026,823755,moneyline-v2-plus-runs-v1,Colorado Rockies @ Milwaukee Brewers,Milwaukee Brewers,watchlist,0.7735,0.7496,81,-335,W
7/26/2026,823840,moneyline-v2-plus-runs-v1,San Diego Padres @ Miami Marlins,San Diego Padres,pass,0.5941,0.4676,35,110,W
7/26/2026,824246,moneyline-v2-plus-runs-v1,Kansas City Royals @ Detroit Tigers,Detroit Tigers,pass,0.5731,0.6282,38,-179,L
7/26/2026,824572,moneyline-v2-plus-runs-v1,Houston Astros @ Chicago White Sox,Chicago White Sox,pass,0.5024,0.5082,27,-108,W
7/26/2026,824730,moneyline-v2-plus-runs-v1,Toronto Blue Jays @ Boston Red Sox,Boston Red Sox,watchlist,0.7103,0.5675,68,-139,W
7/26/2026,824810,moneyline-v2-plus-runs-v1,Atlanta Braves @ Baltimore Orioles,Baltimore Orioles,pass,0.5622,0.4933,38,100,L
7/27/2026,822705,moneyline-v2-plus-runs-v1,Toronto Blue Jays @ Washington Nationals,Washington Nationals,watchlist,0.825,0.5603,72,-133,L
7/27/2026,822868,moneyline-v2-plus-runs-v1,Seattle Mariners @ Texas Rangers,Seattle Mariners,pass,0.5841,0.5425,52,-124,L
7/27/2026,823025,moneyline-v2-plus-runs-v1,Chicago Cubs @ St. Louis Cardinals,Chicago Cubs,pass,0.704,0.5288,50,-118,W
7/27/2026,823195,moneyline-v2-plus-runs-v1,Milwaukee Brewers @ San Francisco Giants,Milwaukee Brewers,pass,0.6299,0.5566,49,-130,L
7/27/2026,823353,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ Pittsburgh Pirates,Pittsburgh Pirates,pass,0.5696,0.5119,43,-110,W
7/27/2026,823597,moneyline-v2-plus-runs-v1,Atlanta Braves @ New York Mets,Atlanta Braves,pass,0.5709,0.5886,40,-150,L
7/27/2026,823839,moneyline-v2-plus-runs-v1,Philadelphia Phillies @ Miami Marlins,Philadelphia Phillies,pass,0.6564,0.5,62,-105,L
7/27/2026,824001,moneyline-v2-plus-runs-v1,Houston Astros @ Los Angeles Angels,Los Angeles Angels,pass,0.5222,0.4979,49,-103,L
7/27/2026,824245,moneyline-v2-plus-runs-v1,Baltimore Orioles @ Detroit Tigers,Detroit Tigers,pass,0.5487,0.5593,37,-130,L
7/27/2026,824570,moneyline-v2-plus-runs-v1,New York Yankees @ Chicago White Sox,New York Yankees,pass,0.5785,0.5597,56,-134,W
7/27/2026,824977,moneyline-v2-plus-runs-v1,Boston Red Sox @ Athletics,Boston Red Sox,pass,0.6989,0.5779,63,-144,W
7/28/2026,822703,moneyline-v2-plus-runs-v1,Toronto Blue Jays @ Washington Nationals,Washington Nationals,pass,0.7722,0.4756,63,106,W
7/28/2026,822949,moneyline-v2-plus-runs-v1,Texas Rangers @ Tampa Bay Rays,Tampa Bay Rays,pass,0.6217,0.5528,47,-134,L
7/28/2026,823026,moneyline-v2-plus-runs-v1,Chicago Cubs @ St. Louis Cardinals,Chicago Cubs,pass,0.6307,0.5089,53,-112,W
7/28/2026,823193,moneyline-v2-plus-runs-v1,Milwaukee Brewers @ San Francisco Giants,Milwaukee Brewers,pass,0.5985,0.5191,42,-112,W
7/28/2026,823275,moneyline-v2-plus-runs-v1,Colorado Rockies @ San Diego Padres,San Diego Padres,watchlist,0.6444,0.5631,68,-141,W
7/28/2026,823350,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ Pittsburgh Pirates,Arizona Diamondbacks,pass,0.5366,0.4479,34,118,W
7/28/2026,823676,moneyline-v2-plus-runs-v1,Kansas City Royals @ Minnesota Twins,Minnesota Twins,pass,0.512,0.6204,40,-181,W
7/28/2026,823838,moneyline-v2-plus-runs-v1,Philadelphia Phillies @ Miami Marlins,Miami Marlins,pass,0.5408,0.4069,49,136,W
7/28/2026,823923,moneyline-v2-plus-runs-v1,Seattle Mariners @ Los Angeles Dodgers,Los Angeles Dodgers,watchlist,0.6855,0.5737,69,-148,L
7/28/2026,824003,moneyline-v2-plus-runs-v1,Houston Astros @ Los Angeles Angels,Houston Astros,pass,0.5324,0.5364,39,-126,W
7/28/2026,824243,moneyline-v2-plus-runs-v1,Baltimore Orioles @ Detroit Tigers,Detroit Tigers,pass,0.5343,0.605,50,-160,W
7/28/2026,824489,moneyline-v2-plus-runs-v1,Cleveland Guardians @ Cincinnati Reds,Cincinnati Reds,pass,0.5186,0.4527,42,116,W
7/28/2026,824490,moneyline-v2-plus-runs-v1,Cleveland Guardians @ Cincinnati Reds,Cincinnati Reds,watchlist,0.6252,0.4598,66,112,L
7/28/2026,824569,moneyline-v2-plus-runs-v1,New York Yankees @ Chicago White Sox,New York Yankees,pass,0.5237,0.5669,40,-138,W
7/28/2026,824976,moneyline-v2-plus-runs-v1,Boston Red Sox @ Athletics,Boston Red Sox,pass,0.6867,0.5762,61,-142,L
7/29/2026,822702,moneyline-v2-plus-runs-v1,Toronto Blue Jays @ Washington Nationals,Washington Nationals,pass,0.6858,0.4775,64,106,L
7/29/2026,822947,moneyline-v2-plus-runs-v1,Texas Rangers @ Tampa Bay Rays,Tampa Bay Rays,pass,0.5506,0.5696,27,-141,W
7/29/2026,823022,moneyline-v2-plus-runs-v1,Chicago Cubs @ St. Louis Cardinals,Chicago Cubs,watchlist,0.7021,0.5016,73,-105,L
7/29/2026,823192,moneyline-v2-plus-runs-v1,Milwaukee Brewers @ San Francisco Giants,Milwaukee Brewers,pass,0.6245,0.5061,41,-104,L
7/29/2026,823273,moneyline-v2-plus-runs-v1,Colorado Rockies @ San Diego Padres,San Diego Padres,pass,0.6094,0.5943,41,-156,W
7/29/2026,823351,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ Pittsburgh Pirates,Arizona Diamondbacks,pass,0.5198,0.4502,43,118,W
7/29/2026,823596,moneyline-v2-plus-runs-v1,Atlanta Braves @ New York Mets,New York Mets,pass,0.5363,0.4184,48,138,W
7/29/2026,823598,moneyline-v2-plus-runs-v1,Atlanta Braves @ New York Mets,Atlanta Braves,pass,0.5383,0.5816,50,-145,W
7/29/2026,823677,moneyline-v2-plus-runs-v1,Kansas City Royals @ Minnesota Twins,Minnesota Twins,pass,0.592,0.64,45,-191,L
7/29/2026,823837,moneyline-v2-plus-runs-v1,Philadelphia Phillies @ Miami Marlins,Philadelphia Phillies,pass,0.5972,,49,,L
7/29/2026,823924,moneyline-v2-plus-runs-v1,Seattle Mariners @ Los Angeles Dodgers,Seattle Mariners,watchlist,0.8737,0.4013,72,145,L
7/29/2026,824002,moneyline-v2-plus-runs-v1,Houston Astros @ Los Angeles Angels,Houston Astros,pass,0.5439,0.5483,49,-127,W
7/29/2026,824242,moneyline-v2-plus-runs-v1,Baltimore Orioles @ Detroit Tigers,Detroit Tigers,value_watch,0.6665,0.6297,78,-182,L
7/29/2026,824487,moneyline-v2-plus-runs-v1,Cleveland Guardians @ Cincinnati Reds,Cleveland Guardians,pass,0.542,0.5535,38,-130,W
7/29/2026,824567,moneyline-v2-plus-runs-v1,New York Yankees @ Chicago White Sox,New York Yankees,pass,0.5073,0.5724,34,-142,L
7/29/2026,824973,moneyline-v2-plus-runs-v1,Boston Red Sox @ Athletics,Boston Red Sox,watchlist,0.9858,0.5809,73,-145,W
7/30/2026,823023,moneyline-v2-plus-runs-v1,Chicago Cubs @ St. Louis Cardinals,Chicago Cubs,watchlist,0.8816,0.4906,65,100,W
7/30/2026,823271,moneyline-v2-plus-runs-v1,San Francisco Giants @ San Diego Padres,San Diego Padres,pass,0.7789,0.5867,61,-151,L
7/30/2026,823595,moneyline-v2-plus-runs-v1,Miami Marlins @ New York Mets,New York Mets,pass,0.6397,0.542,63,-122,W
7/30/2026,823921,moneyline-v2-plus-runs-v1,Seattle Mariners @ Los Angeles Dodgers,Seattle Mariners,pass,0.6781,0.411,48,138,L
7/30/2026,824488,moneyline-v2-plus-runs-v1,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,pass,0.8564,0.5128,64,-111,L
7/30/2026,824568,moneyline-v2-plus-runs-v1,New York Yankees @ Chicago White Sox,Chicago White Sox,pass,0.5495,0.5122,36,-110,W
7/30/2026,824894,moneyline-v2-plus-runs-v1,Washington Nationals @ Atlanta Braves,Washington Nationals,pass,0.7705,0.4182,54,133,L
7/30/2026,824974,moneyline-v2-plus-runs-v1,Boston Red Sox @ Athletics,Boston Red Sox,watchlist,0.9597,0.6212,73,-177,W
7/31/2026,822782,moneyline-v2-plus-runs-v1,St. Louis Cardinals @ Toronto Blue Jays,Toronto Blue Jays,pass,0.6098,0.6284,59,-180,W
7/31/2026,822945,moneyline-v2-plus-runs-v1,Chicago White Sox @ Tampa Bay Rays,Tampa Bay Rays,pass,0.566,0.5633,38,-132,L
7/31/2026,823111,moneyline-v2-plus-runs-v1,Minnesota Twins @ Seattle Mariners,Minnesota Twins,pass,0.5462,0.3941,42,150,W
7/31/2026,823272,moneyline-v2-plus-runs-v1,San Francisco Giants @ San Diego Padres,San Diego Padres,watchlist,0.8331,0.5723,71,-138,W
7/31/2026,823593,moneyline-v2-plus-runs-v1,Miami Marlins @ New York Mets,New York Mets,watchlist,0.595,0.5438,65,-122,L
7/31/2026,823922,moneyline-v2-plus-runs-v1,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,watchlist,0.7341,0.4539,65,118,W
7/31/2026,823999,moneyline-v2-plus-runs-v1,Milwaukee Brewers @ Los Angeles Angels,Los Angeles Angels,pass,0.5522,0.4013,31,147,L
7/31/2026,824164,moneyline-v2-plus-runs-v1,Texas Rangers @ Houston Astros,Houston Astros,pass,0.618,0.5423,55,-122,W
7/31/2026,824325,moneyline-v2-plus-runs-v1,Kansas City Royals @ Colorado Rockies,Colorado Rockies,pass,0.663,0.4977,46,-102,W
7/31/2026,824407,moneyline-v2-plus-runs-v1,Arizona Diamondbacks @ Cleveland Guardians,Cleveland Guardians,pass,0.8164,0.5684,64,-132,L
7/31/2026,824486,moneyline-v2-plus-runs-v1,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,pass,0.6858,0.5359,38,-118,L
7/31/2026,824651,moneyline-v2-plus-runs-v1,New York Yankees @ Chicago Cubs,Chicago Cubs,pass,0.7993,0.5907,60,-148,L
7/31/2026,824809,moneyline-v2-plus-runs-v1,Philadelphia Phillies @ Baltimore Orioles,Baltimore Orioles,pass,0.6651,0.5146,45,-110,W
7/31/2026,824892,moneyline-v2-plus-runs-v1,Washington Nationals @ Atlanta Braves,Atlanta Braves,pass,0.5184,0.5191,30,-110,W
7/31/2026,824975,moneyline-v2-plus-runs-v1,Detroit Tigers @ Athletics,Detroit Tigers,pass,0.735,0.5644,50,-132,W
8/1/2026,822781,leo,St. Louis Cardinals @ Toronto Blue Jays,Toronto Blue Jays,pass,0.5538,,42,,W
8/1/2026,822944,leo,Chicago White Sox @ Tampa Bay Rays,Chicago White Sox,pass,0.5437,,23,,L
8/1/2026,823109,leo,Minnesota Twins @ Seattle Mariners,Minnesota Twins,pass,0.7349,,42,,L
8/1/2026,823269,leo,San Francisco Giants @ San Diego Padres,San Diego Padres,pass,0.8082,0.5673,54,-138,W
8/1/2026,823594,leo,Miami Marlins @ New York Mets,New York Mets,pass,0.5844,,61,,L
8/1/2026,823920,leo,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,pass,0.6925,0.4145,51,142,W
8/1/2026,824000,leo,Milwaukee Brewers @ Los Angeles Angels,Los Angeles Angels,pass,0.5709,0.3296,33,201,L
8/1/2026,824162,leo,Texas Rangers @ Houston Astros,Houston Astros,pass,0.7179,0.5358,59,-120,W
8/1/2026,824326,leo,Kansas City Royals @ Colorado Rockies,Colorado Rockies,pass,0.7638,0.5045,47,-105,W
8/1/2026,824405,leo,Arizona Diamondbacks @ Cleveland Guardians,Arizona Diamondbacks,pass,0.6499,0.4358,42,128,W
8/1/2026,824485,leo,Pittsburgh Pirates @ Cincinnati Reds,Pittsburgh Pirates,pass,0.6819,0.4229,40,134,W
8/1/2026,824649,leo,New York Yankees @ Chicago Cubs,Chicago Cubs,pass,0.7023,0.4622,48,116,W
8/1/2026,824808,leo,Philadelphia Phillies @ Baltimore Orioles,Baltimore Orioles,pass,0.8796,0.4515,51,120,L
8/1/2026,824972,leo,Detroit Tigers @ Athletics,Detroit Tigers,watchlist,0.9552,0.5083,68,-106,W
8/2/2026,822783,leo,St. Louis Cardinals @ Toronto Blue Jays,Toronto Blue Jays,pass,0.6788,0.5489,56,-126,L
8/2/2026,822943,leo,Chicago White Sox @ Tampa Bay Rays,Tampa Bay Rays,watchlist,0.634,0.5739,66,-142,L
8/2/2026,823592,leo,Miami Marlins @ New York Mets,Miami Marlins,pass,0.5599,0.5237,37,-114,W
8/2/2026,823919,leo,Boston Red Sox @ Los Angeles Dodgers,Boston Red Sox,pass,0.5335,0.377,51,160,W
8/2/2026,824891,leo,Washington Nationals @ Atlanta Braves,Washington Nationals,pass,0.6771,0.4703,55,110,L
8/3/2026,823520,leo,St. Louis Cardinals @ New York Yankees,New York Yankees,watchlist,0.7597,0.6833,71,-230,L
8/3/2026,823757,leo,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,watchlist,0.6842,0.594,65,-154,L
8/3/2026,824160,leo,Toronto Blue Jays @ Houston Astros,Houston Astros,pass,0.6595,0.5433,63,-125,L
8/3/2026,824324,leo,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,pass,0.5948,0.6226,46,-172,W
8/3/2026,824647,leo,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,pass,0.5758,0.356,46,176,W
8/3/2026,825095,leo,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,pass,0.5149,0.489,44,101,L
8/3/2026,822867,leo,San Francisco Giants @ Texas Rangers,San Francisco Giants,pass,0.5479,0.4498,34,120,W
8/4/2026,823756,leo,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,watchlist,0.656,0.5343,65,-118,W
8/4/2026,824484,leo,Athletics @ Cincinnati Reds,Cincinnati Reds,pass,0.7193,0.5559,58,-129,W
8/4/2026,824161,leo,Toronto Blue Jays @ Houston Astros,Houston Astros,pass,0.6122,0.5292,50,-115,W
8/4/2026,823517,leo,St. Louis Cardinals @ New York Yankees,New York Yankees,pass,0.6771,0.5741,50,-140,W
8/4/2026,824731,leo,Chicago White Sox @ Boston Red Sox,Boston Red Sox,pass,0.5956,0.5339,48,-116,W
8/4/2026,825054,leo,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,pass,0.5186,0.5,46,-108,L
8/4/2026,823108,leo,Detroit Tigers @ Seattle Mariners,Detroit Tigers,pass,0.5141,0.4295,46,124,W
8/4/2026,824805,leo,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,pass,0.6216,0.5597,45,-135,W
8/4/2026,824645,leo,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,pass,0.5749,0.5348,45,-121,W
8/4/2026,824321,leo,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,pass,0.6023,0.5855,37,-150,W
8/4/2026,824084,leo,Minnesota Twins @ Kansas City Royals,Minnesota Twins,pass,0.6186,0.4893,36,-102,L
8/4/2026,824888,leo,Miami Marlins @ Atlanta Braves,Atlanta Braves,pass,0.6022,0.5413,35,-125,W
8/4/2026,822865,leo,San Francisco Giants @ Texas Rangers,San Francisco Giants,pass,0.5365,0.3702,32,160,L
8/4/2026,823432,leo,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,pass,0.5457,0.5936,30,-155,W
8/4/2026,824403,leo,New York Mets @ Cleveland Guardians,New York Mets,pass,0.542,0.5146,25,-110,W
8/5/2026,824158,leo,Toronto Blue Jays @ Houston Astros,Houston Astros,watchlist,0.7046,,81,,L
8/5/2026,824482,leo,Athletics @ Cincinnati Reds,Cincinnati Reds,official_pick,0.6576,0.6172,81,-174,W
8/5/2026,824646,leo,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,watchlist,0.6989,,73,,W
8/5/2026,823753,leo,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,pass,0.5869,0.5608,62,-135,W
8/5/2026,824402,leo,New York Mets @ Cleveland Guardians,New York Mets,pass,0.5585,0.4989,56,-106,W
8/5/2026,824728,leo,Chicago White Sox @ Boston Red Sox,Boston Red Sox,pass,0.5707,0.6222,55,-178,W
8/5/2026,824082,leo,Minnesota Twins @ Kansas City Royals,Kansas City Royals,pass,0.5007,0.5181,49,-112,W
8/5/2026,825052,leo,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,pass,0.5476,0.4899,49,-102,L
8/5/2026,823106,leo,Detroit Tigers @ Seattle Mariners,Detroit Tigers,pass,0.5127,0.4629,44,110,L
8/5/2026,824322,leo,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,pass,0.6459,0.5951,44,-153,W
8/5/2026,822866,leo,San Francisco Giants @ Texas Rangers,Texas Rangers,pass,0.5049,0.5944,42,-147,W
8/5/2026,824889,leo,Miami Marlins @ Atlanta Braves,Atlanta Braves,pass,0.5548,0.5883,39,-152,W
8/5/2026,823429,leo,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,pass,0.5464,0.7402,38,-335,L
8/5/2026,824806,leo,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,pass,0.5612,0.6019,35,-167,W
8/5/2026,823516,leo,St. Louis Cardinals @ New York Yankees,New York Yankees,pass,0.5804,0.5853,34,-147,L
8/6/2026,824729,leo,Chicago White Sox @ Boston Red Sox,Boston Red Sox,official_pick,0.6114,0.6373,80,-184,W
8/6/2026,823754,leo,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,pass,0.5975,0.556,63,-131,W
8/6/2026,824885,leo,Miami Marlins @ Atlanta Braves,Atlanta Braves,pass,0.5772,0.5979,60,-150,W
8/6/2026,824664,leo,Toronto Blue Jays @ Chicago Cubs,Chicago Cubs,pass,0.5672,0.4679,57,110,W
8/6/2026,823430,leo,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,pass,0.5682,0.7394,55,-305,W
8/6/2026,824080,leo,Minnesota Twins @ Kansas City Royals,Kansas City Royals,pass,0.507,0.548,47,-121,L
8/6/2026,824401,leo,New York Mets @ Cleveland Guardians,New York Mets,pass,0.5327,0.5094,45,-110,W
8/6/2026,825053,leo,San Diego Padres @ Arizona Diamondbacks,Arizona Diamondbacks,pass,0.5054,0.494,44,100,L
8/6/2026,823105,leo,Detroit Tigers @ Seattle Mariners,Seattle Mariners,pass,0.5038,0.5323,28,-118,L
8/7/2026,824727,leo,Athletics @ Boston Red Sox,Boston Red Sox,watchlist,0.6834,0.6636,86,-215,W
