date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
08/15/2026,824644,St. Louis Cardinals @ Chicago Cubs,Chicago Cubs,St. Louis Cardinals,pass,L,41,0.5621,0.6243,0.9205,,,46,51,3.3,0.332,0.3153,0.3436,0.2917,4,FALSE
08/15/2026,822941,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,pass,L,41,0.586,0.6721,0.2761,,,78,67,4.3,0.3383,0.3196,0.3269,0.3087,2,FALSE
08/15/2026,824157,Seattle Mariners @ Houston Astros,Houston Astros,Seattle Mariners,pass,L,37,0.5425,0.5849,0.8636,,,73,81,3.3,0.3347,0.2904,0.3275,0.2936,24,FALSE
08/15/2026,822775,New York Yankees @ Toronto Blue Jays,New York Yankees,Toronto Blue Jays,pass,L,36,0.5072,0.4856,,,,58,67,3.2,0.287,0.2878,0.2778,0.2853,13,TRUE
08/15/2026,824480,Miami Marlins @ Cincinnati Reds,Miami Marlins,Cincinnati Reds,pass,W,34,0.5448,0.4105,0.6337,,,48,75,5,0.3064,0.3039,0.3035,0.3068,0,FALSE
08/15/2026,823184,Colorado Rockies @ San Francisco Giants,Colorado Rockies,San Francisco Giants,pass,L,34,0.5122,0.4756,0.2639,,,61,73,4.4,0.3272,0.2652,0.3157,0.2902,45,FALSE
08/15/2026,823990,Kansas City Royals @ Los Angeles Angels,Kansas City Royals,Los Angeles Angels,pass,L,34,0.5083,0.4833,0.2767,,,63,92,3.7,0.2931,0.2651,0.301,0.2789,6,FALSE
08/15/2026,824966,Texas Rangers @ Athletics,Texas Rangers,Athletics,pass,W,33,0.5979,0.3043,0.3668,,,98,65,3.6,0.2745,0.2899,0.2978,0.3095,5,FALSE
08/15/2026,823588,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,pass,W,23,0.5212,0.5424,0.2726,,,55,57,3.4,0.335,0.3119,0.3259,0.3465,1,FALSE
08/15/2026,824884,Arizona Diamondbacks @ Atlanta Braves,Atlanta Braves,Arizona Diamondbacks,pass,L,19,0.5345,0.5691,0.3464,,,53,35,4.1,0.3316,0.3405,0.334,0.3457,14,FALSE
08/16/2026,824477,Miami Marlins @ Cincinnati Reds,Miami Marlins,Cincinnati Reds,official_pick,W,80,0.744,0.012,0.5906,76,54,51,71,3.5,0.314,0.2843,0.3077,0.3034,22,TRUE
08/16/2026,823991,Kansas City Royals @ Los Angeles Angels,Kansas City Royals,Los Angeles Angels,watchlist,W,79,0.7417,0.0167,,66,39,66,70,3.4,0.2865,0.2603,0.2957,0.2733,27,TRUE
08/16/2026,823590,Washington Nationals @ New York Mets,New York Mets,Washington Nationals,value_watch,W,77,0.7361,0.9723,0.3337,66,49,50,79,4.4,0.344,0.3044,0.3265,0.3426,17,TRUE
08/16/2026,824880,Arizona Diamondbacks @ Atlanta Braves,Arizona Diamondbacks,Atlanta Braves,value_watch,L,75,0.6882,0.1237,0.2255,78,67,32,61,3.6,0.3478,0.3162,0.3459,0.3302,11,TRUE
08/16/2026,824397,San Diego Padres @ Cleveland Guardians,San Diego Padres,Cleveland Guardians,watchlist,W,66,0.6751,0.1499,0.2382,76,69,69,76,3.8,0.3358,0.3282,0.3512,0.3116,7,TRUE
08/16/2026,823670,Philadelphia Phillies @ Minnesota Twins,Minnesota Twins,Philadelphia Phillies,pass,L,60,0.7337,0.9674,0.2448,59,41,59,57,4,0.3248,0.342,0.3024,0.3309,18,TRUE
08/16/2026,824642,St. Louis Cardinals @ Chicago Cubs,St. Louis Cardinals,Chicago Cubs,pass,W,60,0.7295,0.041,0.8669,65,47,47,44,3.9,0.3339,0.3369,0.2977,0.341,18,TRUE
08/16/2026,822774,New York Yankees @ Toronto Blue Jays,Toronto Blue Jays,New York Yankees,pass,L,59,0.729,0.958,,88,72,98,60,3.1,0.2804,0.2882,0.2833,0.2776,16,TRUE
08/16/2026,823912,Milwaukee Brewers @ Los Angeles Dodgers,Los Angeles Dodgers,Milwaukee Brewers,pass,L,57,0.6845,0.8691,0.5309,88,80,58,48,3.1,0.2946,0.2891,0.3094,0.3117,8,TRUE
08/16/2026,822940,Baltimore Orioles @ Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,pass,W,56,0.7076,0.0848,0.2281,65,51,93,80,3.5,0.3227,0.3416,0.3121,0.3257,14,TRUE
08/16/2026,823182,Colorado Rockies @ San Francisco Giants,San Francisco Giants,Colorado Rockies,pass,L,54,0.7186,0.9372,0.1797,58,43,55,61,4,0.2867,0.3395,0.2947,0.3174,15,TRUE
08/16/2026,824965,Texas Rangers @ Athletics,Texas Rangers,Athletics,pass,L,52,0.7337,0.0326,0.3683,62,48,92,62,3.9,0.2817,0.3051,0.3006,0.3122,14,TRUE
08/16/2026,824156,Seattle Mariners @ Houston Astros,Seattle Mariners,Houston Astros,pass,W,51,0.6731,0.1538,0.8112,72,64,75,78,3.2,0.2999,0.3144,0.2967,0.3273,8,TRUE
08/16/2026,823344,Boston Red Sox @ Pittsburgh Pirates,Pittsburgh Pirates,Boston Red Sox,pass,W,48,0.7388,0.9775,0.1492,65,44,74,48,6.6,0.2983,0.3485,0.2973,0.3431,21,TRUE
08/16/2026,824236,Chicago White Sox @ Detroit Tigers,Detroit Tigers,Chicago White Sox,pass,L,45,0.5422,0.5844,0.6463,77,77,59,100,6,0.3375,0.3369,0.3393,0.3195,0,FALSE
08/17/2026,824478,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,official_pick,L,84,0.7443,0.0115,,70,50,51,87,3.3,0.3322,0.2919,0.2997,0.2977,20,TRUE
08/17/2026,823427,Miami Marlins @ Philadelphia Phillies,Philadelphia Phillies,Miami Marlins,value_watch,W,80,0.742,0.9839,,86,59,54,67,2.8,0.347,0.3165,0.3329,0.3143,27,TRUE
08/17/2026,824514,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,value_watch,W,79,0.7315,0.037,0.2837,56,42,51,87,4.5,0.3322,0.2919,0.2997,0.2977,14,TRUE
08/17/2026,824641,Chicago White Sox @ Chicago Cubs,Chicago Cubs,Chicago White Sox,value_watch,W,78,0.7408,0.9816,0.4541,75,57,73,94,3.3,0.3476,0.3434,0.3493,0.3168,18,TRUE
08/17/2026,823589,San Diego Padres @ New York Mets,New York Mets,San Diego Padres,watchlist,W,70,0.7421,0.9841,0.261,76,54,45,62,3.3,0.3435,0.334,0.323,0.3522,22,TRUE
08/17/2026,824725,Arizona Diamondbacks @ Boston Red Sox,Boston Red Sox,Arizona Diamondbacks,watchlist,W,66,0.7187,0.9375,0.6406,70,56,51,34,4.5,0.361,0.3254,0.3413,0.3403,14,TRUE
08/17/2026,824077,Athletics @ Kansas City Royals,Kansas City Royals,Athletics,watchlist,W,65,0.7388,0.9776,0.5408,75,43,41,60,2.7,0.2828,0.3097,0.2961,0.3172,32,TRUE
08/17/2026,823668,Atlanta Braves @ Minnesota Twins,Atlanta Braves,Minnesota Twins,pass,L,64,0.7111,0.0777,0.3498,72,61,58,84,3.9,0.3018,0.3262,0.3165,0.3053,11,TRUE
08/17/2026,822939,Baltimore Orioles @ Tampa Bay Rays,Tampa Bay Rays,Baltimore Orioles,pass,W,61,0.6504,0.8009,0.2206,74,69,86,88,4,0.3574,0.3416,0.3383,0.3185,5,TRUE
08/17/2026,824320,Los Angeles Dodgers @ Colorado Rockies,Colorado Rockies,Los Angeles Dodgers,pass,L,51,0.6113,0.7227,0.6449,62,56,67,58,3.6,0.3222,0.306,0.3202,0.318,6,TRUE
