date,gamePk,model_version,line,over_price,under_price,projection,actual_total,ou_result,lean,lean_result,setup_rating,classification,matchup
7/26/2026,824572,totals-runs-v3-pitching-plan,12.5,-125,110,11.4,15,O,-1.1,,58,research_lean,Houston Astros @ Chicago White Sox
7/26/2026,824730,totals-runs-v3-pitching-plan,7.5,-104,-106,6.9,7,U,-0.6,,50,no_lean,Toronto Blue Jays @ Boston Red Sox
7/26/2026,824810,totals-runs-v3-pitching-plan,5.5,160,-159,8.9,5,U,3.4,L,87,research_lean,Atlanta Braves @ Baltimore Orioles
7/27/2026,822705,totals-runs-v3-pitching-plan,9,100,-115,9.8,5,U,0.8,,59,no_lean,Toronto Blue Jays @ Washington Nationals
7/27/2026,822868,totals-runs-v3-pitching-plan,14.5,103,-118,8.3,10,U,-6.2,W,87,research_lean,Seattle Mariners @ Texas Rangers
7/27/2026,823025,totals-runs-v3-pitching-plan,9.5,106,-114,9.3,10,O,-0.2,,43,no_lean,Chicago Cubs @ St. Louis Cardinals
7/27/2026,823195,totals-runs-v3-pitching-plan,7.5,-113,-102,8.9,3,U,1.4,,69,research_lean,Milwaukee Brewers @ San Francisco Giants
7/27/2026,823353,totals-runs-v3-pitching-plan,9,-105,-105,10.7,5,U,1.7,L,80,research_lean,Arizona Diamondbacks @ Pittsburgh Pirates
7/27/2026,823597,totals-runs-v3-pitching-plan,7.5,110,-120,8.6,17,O,1.1,,64,research_lean,Atlanta Braves @ New York Mets
7/27/2026,823839,totals-runs-v3-pitching-plan,8,-113,-102,7.6,15,O,-0.4,,46,no_lean,Philadelphia Phillies @ Miami Marlins
7/27/2026,824001,totals-runs-v3-pitching-plan,8,-115,-104,8.9,10,O,0.9,,61,no_lean,Houston Astros @ Los Angeles Angels
7/27/2026,824245,totals-runs-v3-pitching-plan,9,-113,-102,7.7,13,O,-1.3,L,74,research_lean,Baltimore Orioles @ Detroit Tigers
7/27/2026,824570,totals-runs-v3-pitching-plan,8,-113,-102,8.7,14,O,0.7,,51,no_lean,New York Yankees @ Chicago White Sox
7/27/2026,824977,totals-runs-v3-pitching-plan,9.5,-105,-102,9,6,U,-0.5,,48,no_lean,Boston Red Sox @ Athletics
7/28/2026,822703,totals-runs-v3-pitching-plan,9.5,101,-102,9.6,14,O,0.1,,42,no_lean,Toronto Blue Jays @ Washington Nationals
7/28/2026,822949,totals-runs-v3-pitching-plan,7.5,-119,-102,9.7,5,U,2.2,L,82,research_lean,Texas Rangers @ Tampa Bay Rays
7/28/2026,823026,totals-runs-v3-pitching-plan,8,-119,-103,10.1,12,O,2.1,W,80,research_lean,Chicago Cubs @ St. Louis Cardinals
7/28/2026,823193,totals-runs-v3-pitching-plan,7.5,-107,-107,7,10,O,-0.5,,48,no_lean,Milwaukee Brewers @ San Francisco Giants
7/28/2026,823275,totals-runs-v3-pitching-plan,8.5,-108,-110,9.5,15,O,1,,63,no_lean,Colorado Rockies @ San Diego Padres
7/28/2026,823350,totals-runs-v3-pitching-plan,8.5,-105,-109,10.4,15,O,1.9,W,77,research_lean,Arizona Diamondbacks @ Pittsburgh Pirates
7/28/2026,823676,totals-runs-v3-pitching-plan,9,-105,-115,8.6,5,U,-0.4,,46,no_lean,Kansas City Royals @ Minnesota Twins
7/28/2026,823838,totals-runs-v3-pitching-plan,8,-110,-110,8.8,1,U,0.8,,53,no_lean,Philadelphia Phillies @ Miami Marlins
7/28/2026,823923,totals-runs-v3-pitching-plan,9,-118,-103,7.7,13,O,-1.3,L,74,research_lean,Seattle Mariners @ Los Angeles Dodgers
7/28/2026,824003,totals-runs-v3-pitching-plan,9.5,-103,-115,8.7,5,U,-0.8,,59,no_lean,Houston Astros @ Los Angeles Angels
7/28/2026,824243,totals-runs-v3-pitching-plan,8,-107,-107,8.8,14,O,0.8,,53,no_lean,Baltimore Orioles @ Detroit Tigers
7/28/2026,824489,totals-runs-v3-pitching-plan,9,-102,-105,7.5,2,U,-1.5,,65,research_lean,Cleveland Guardians @ Cincinnati Reds
7/28/2026,824490,totals-runs-v3-pitching-plan,9,-102,-105,7.6,11,O,-1.4,L,75,research_lean,Cleveland Guardians @ Cincinnati Reds
7/28/2026,824569,totals-runs-v3-pitching-plan,7.5,-104,-110,10.9,5,U,3.4,L,94,research_lean,New York Yankees @ Chicago White Sox
7/28/2026,824976,totals-runs-v3-pitching-plan,10.5,-102,-105,8.7,7,U,-1.8,W,75,research_lean,Boston Red Sox @ Athletics
8/2/2026,822783,totals-runs-v4-additive-median-woba,9,107,-117,2.9,6,U,-6.1,W,77,research_lean,St. Louis Cardinals @ Toronto Blue Jays
8/2/2026,822943,totals-runs-v4-additive-median-woba,7.5,-102,-113,2,10,O,-5.5,L,88,research_lean,Chicago White Sox @ Tampa Bay Rays
8/2/2026,823107,totals-runs-v4-additive-median-woba,7,-117,102,4.6,13,O,-2.4,L,89,research_lean,Minnesota Twins @ Seattle Mariners
8/2/2026,823270,totals-runs-v4-additive-median-woba,8,-107,-105,5.2,9,O,-2.8,L,81,research_lean,San Francisco Giants @ San Diego Padres
8/2/2026,823592,totals-runs-v4-additive-median-woba,8.5,-118,103,4.9,2,U,-3.6,W,75,research_lean,Miami Marlins @ New York Mets
8/2/2026,823919,totals-runs-v4-additive-median-woba,8.5,102,-109,8.7,12,O,0.2,,87,no_lean,Boston Red Sox @ Los Angeles Dodgers
8/2/2026,823996,totals-runs-v4-additive-median-woba,7.5,-110,-102,4.1,3,U,-3.4,W,83,research_lean,Milwaukee Brewers @ Los Angeles Angels
8/2/2026,824163,totals-runs-v4-additive-median-woba,8.5,-110,-102,9.6,10,O,1.1,W,92,research_lean,Texas Rangers @ Houston Astros
8/2/2026,824323,totals-runs-v4-additive-median-woba,11.5,-105,-104,10,9,U,-1.5,W,91,research_lean,Kansas City Royals @ Colorado Rockies
8/2/2026,824404,totals-runs-v4-additive-median-woba,8,100,-110,13.3,5,U,5.3,L,87,research_lean,Arizona Diamondbacks @ Cleveland Guardians
8/2/2026,824483,totals-runs-v4-additive-median-woba,8.5,-118,105,8.8,12,O,0.3,,88,no_lean,Pittsburgh Pirates @ Cincinnati Reds
8/2/2026,824648,totals-runs-v4-additive-median-woba,6.5,-110,100,6.7,3,U,0.2,,88,no_lean,New York Yankees @ Chicago Cubs
8/2/2026,824807,totals-runs-v4-additive-median-woba,8,-105,-109,9.7,8,P,1.7,,91,research_lean,Philadelphia Phillies @ Baltimore Orioles
8/2/2026,824891,totals-runs-v4-additive-median-woba,9,103,-114,10,6,U,1,,88,no_lean,Washington Nationals @ Atlanta Braves
8/2/2026,824971,totals-runs-v4-additive-median-woba,11,-102,-113,9.6,11,P,-1.4,,71,research_lean,Detroit Tigers @ Athletics
8/3/2026,822867,totals-runs-v4-additive-median-woba,7.5,-120,100,8.2,6,U,0.7,,90,no_lean,San Francisco Giants @ Texas Rangers
8/3/2026,823431,totals-runs-v4-additive-median-woba,9,103,-118,8.3,9,P,-0.7,,90,no_lean,Washington Nationals @ Philadelphia Phillies
8/3/2026,823520,totals-runs-v4-additive-median-woba,8.5,100,-120,4.2,20,O,-4.3,L,76,research_lean,St. Louis Cardinals @ New York Yankees
8/3/2026,823757,totals-runs-v4-additive-median-woba,7.5,-115,100,11.4,7,U,3.9,L,78,research_lean,Pittsburgh Pirates @ Milwaukee Brewers
8/3/2026,824160,totals-runs-v4-additive-median-woba,8.5,-102,-113,7.2,4,U,-1.3,,64,research_lean,Toronto Blue Jays @ Houston Astros
8/3/2026,824324,totals-runs-v4-additive-median-woba,11,-105,-114,5.4,22,O,-5.6,L,86,research_lean,Tampa Bay Rays @ Colorado Rockies
8/3/2026,824647,totals-runs-v4-additive-median-woba,9,100,-120,7.8,15,O,-1.2,L,85,research_lean,Los Angeles Dodgers @ Chicago Cubs
8/3/2026,825095,totals-runs-v4-additive-median-woba,8.5,-110,-104,10.2,6,U,1.7,L,83,research_lean,San Diego Padres @ Arizona Diamondbacks
8/4/2026,822865,totals-runs-v4-additive-median-woba,8,-115,-105,8.1,9,O,0.1,,74,no_lean,San Francisco Giants @ Texas Rangers
8/4/2026,823108,totals-runs-v4-additive-median-woba,8,-108,-110,10.1,8,P,2.1,,77,research_lean,Detroit Tigers @ Seattle Mariners
8/4/2026,823432,totals-runs-v4-additive-median-woba,9.5,-115,103,7.9,5,U,-1.6,W,71,research_lean,Washington Nationals @ Philadelphia Phillies
8/4/2026,823517,totals-runs-v4-additive-median-woba,8.5,-115,107,5.4,2,U,-3.1,W,71,research_lean,St. Louis Cardinals @ New York Yankees
8/4/2026,823756,totals-runs-v4-additive-median-woba,7,-115,102,8.6,6,U,1.6,L,84,research_lean,Pittsburgh Pirates @ Milwaukee Brewers
8/4/2026,824084,totals-runs-v4-additive-median-woba,9,-110,-102,7,10,O,-2,,69,research_lean,Minnesota Twins @ Kansas City Royals
8/4/2026,824161,totals-runs-v4-additive-median-woba,7.5,103,-118,7,9,O,-0.5,,72,no_lean,Toronto Blue Jays @ Houston Astros
8/4/2026,824321,totals-runs-v4-additive-median-woba,11.5,-107,-107,7.6,16,O,-3.9,L,83,research_lean,Tampa Bay Rays @ Colorado Rockies
8/4/2026,824403,totals-runs-v4-additive-median-woba,8,-107,-107,8.2,8,P,0.2,,90,no_lean,New York Mets @ Cleveland Guardians
8/4/2026,824484,totals-runs-v4-additive-median-woba,9.5,-115,103,8,9,U,-1.5,W,89,research_lean,Athletics @ Cincinnati Reds
8/4/2026,824645,totals-runs-v4-additive-median-woba,9.5,-105,-114,8.1,6,U,-1.4,W,92,research_lean,Los Angeles Dodgers @ Chicago Cubs
8/4/2026,824731,totals-runs-v4-additive-median-woba,8.5,-102,-108,7.3,16,O,-1.2,L,77,research_lean,Chicago White Sox @ Boston Red Sox
8/4/2026,824805,totals-runs-v4-additive-median-woba,8.5,101,-114,9.8,4,U,1.3,L,71,research_lean,Los Angeles Angels @ Baltimore Orioles
8/4/2026,824888,totals-runs-v4-additive-median-woba,8.5,-113,100,5.2,6,U,-3.3,W,85,research_lean,Miami Marlins @ Atlanta Braves
8/4/2026,825054,totals-runs-v4-additive-median-woba,9.5,100,-120,11.7,13,O,2.2,W,89,research_lean,San Diego Padres @ Arizona Diamondbacks
8/5/2026,822866,totals-runs-v4-additive-median-woba,8.5,-103,-115,9.4,6,U,0.9,,70,no_lean,San Francisco Giants @ Texas Rangers
8/5/2026,823106,totals-runs-v4-additive-median-woba,7.5,-107,-105,9.2,6,U,1.7,L,70,research_lean,Detroit Tigers @ Seattle Mariners
