date,gamePk,official_model_version,shadow_model_version,p_home_official,p_home_shadow,home_won,shadow_fip_away,shadow_fip_home,shadow_off_adj,shadow_bp_adj,official_effective_era_away,official_effective_era_home,official_legacy_strength_home,official_bullpen_risk_away,official_bullpen_risk_home
2026-07-18,824331,legacy-unversioned,legacy-unversioned,0.5007,0.4283,1
2026-07-18,824412,legacy-unversioned,legacy-unversioned,0.4821,0.4622,1
2026-07-18,824414,legacy-unversioned,legacy-unversioned,0.5101,0.4759,0
2026-07-18,824657,legacy-unversioned,legacy-unversioned,0.4887,0.524,1
2026-07-18,824738,legacy-unversioned,legacy-unversioned,0.7184,0.7158,1
2026-07-18,824899,legacy-unversioned,legacy-unversioned,0.6651,0.6565,0
2026-07-18,824979,legacy-unversioned,legacy-unversioned,0.3858,0.3464,1
2026-07-18,825059,legacy-unversioned,legacy-unversioned,0.5654,0.5078,1
2026-07-19,823113,legacy-unversioned,legacy-unversioned,0.5722,0.6031,1
2026-07-19,823439,legacy-unversioned,legacy-unversioned,0.5522,0.5087,0
2026-07-19,823521,legacy-unversioned,legacy-unversioned,0.4955,0.5163,1
2026-07-19,823523,legacy-unversioned,legacy-unversioned,0.5005,0.5429,0
2026-07-19,823764,legacy-unversioned,legacy-unversioned,0.5778,0.6073,1
2026-07-19,824007,legacy-unversioned,legacy-unversioned,0.1989,0.2119,1
2026-07-19,824086,legacy-unversioned,legacy-unversioned,0.535,0.6071,0
2026-07-19,824168,legacy-unversioned,legacy-unversioned,0.4337,0.4241,0
2026-07-19,824330,legacy-unversioned,legacy-unversioned,0.514,0.4603,0
2026-07-19,824411,legacy-unversioned,legacy-unversioned,0.452,0.3923,0
2026-07-19,824653,legacy-unversioned,legacy-unversioned,0.5841,0.5624,1
2026-07-19,824739,legacy-unversioned,legacy-unversioned,0.7068,0.7137,1
2026-07-19,824897,legacy-unversioned,legacy-unversioned,0.639,0.577,1
2026-07-19,824978,legacy-unversioned,legacy-unversioned,0.259,0.2879,0
2026-07-19,825057,legacy-unversioned,legacy-unversioned,0.6338,0.5613,1
2026-07-20,822874,legacy-unversioned,legacy-unversioned,0.4593,0.5373,0
2026-07-20,823112,legacy-unversioned,legacy-unversioned,0.5769,0.6015,1
2026-07-20,823762,legacy-unversioned,legacy-unversioned,0.755,0.7229,1
2026-07-20,824006,legacy-unversioned,legacy-unversioned,0.4787,0.484,1
2026-07-20,824087,legacy-unversioned,legacy-unversioned,0.53,0.479,1
2026-07-20,824167,legacy-unversioned,legacy-unversioned,0.4719,0.4479,1
2026-07-20,824328,legacy-unversioned,legacy-unversioned,0.3334,0.3381,0
2026-07-20,824654,legacy-unversioned,legacy-unversioned,0.5402,0.4612,0
2026-07-20,824736,legacy-unversioned,legacy-unversioned,0.7017,0.6835,1
2026-07-20,824898,legacy-unversioned,legacy-unversioned,0.6462,0.6516,1
2026-07-20,825058,legacy-unversioned,legacy-unversioned,0.7957,0.8106,0
2026-07-21,822787,legacy-unversioned,legacy-unversioned,0.4288,0.4545,0
2026-07-21,822871,legacy-unversioned,legacy-unversioned,0.468,0.4555,1
2026-07-21,823114,legacy-unversioned,legacy-unversioned,0.5166,0.5662,0
2026-07-21,823437,legacy-unversioned,legacy-unversioned,0.4632,0.5016,0
2026-07-21,823760,legacy-unversioned,legacy-unversioned,0.6776,0.6726,0
2026-07-21,824005,legacy-unversioned,legacy-unversioned,0.6161,0.5826,1
2026-07-21,824085,legacy-unversioned,legacy-unversioned,0.5173,0.5356,1
2026-07-21,824165,legacy-unversioned,legacy-unversioned,0.3795,0.5054,1
2026-07-21,824329,legacy-unversioned,legacy-unversioned,0.3463,0.373,1
2026-07-21,824652,legacy-unversioned,legacy-unversioned,0.4533,0.5345,1
2026-07-21,824895,legacy-unversioned,legacy-unversioned,0.7311,0.6518,0
2026-07-21,825056,legacy-unversioned,legacy-unversioned,0.7541,0.6935,1
2026-07-22,822784,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.3335,0.4368,0
2026-07-22,822873,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.41569999999999996,0.5355,0
2026-07-22,823110,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6615,0.6484,0
2026-07-22,823438,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.41469999999999996,0.4919,0
2026-07-22,823518,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6096,0.5586,0
2026-07-22,823519,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.533,0.6127,1
2026-07-22,823761,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6543,0.655,1
2026-07-22,824004,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5626,0.6174,0
2026-07-22,824083,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4869,0.4824,1
2026-07-22,824166,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5507,0.544,1
2026-07-22,824327,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4356,0.3781,0
2026-07-22,824408,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5779,0.6802,0
2026-07-22,824650,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5801,0.5585,0
2026-07-22,824732,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6053,0.6739,0
2026-07-22,824735,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.7296,0.74,1
2026-07-22,824896,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5489,0.6195,1
2026-07-22,825055,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4809,0.6157,1
2026-07-23,822785,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.2348,0.3135,1
2026-07-23,823042,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.48009999999999997,0.4312,0
2026-07-23,824247,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5888,0.6466,1
2026-07-23,824406,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.588,0.6744,0
2026-07-24,822707,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5295,0.4884,0
2026-07-24,822872,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.495,0.5272,1
2026-07-24,822952,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6037,0.5588,1
2026-07-24,823031,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5679,0.5881,0
2026-07-24,823196,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5366,0.5662,1
2026-07-24,823352,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.49970000000000003,0.5465,0
2026-07-24,823434,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.42789999999999995,0.3902,0
2026-07-24,823601,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4282,0.4391,0
2026-07-24,823680,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5949,0.6676,0
2026-07-24,823759,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.7972,0.8487,0
2026-07-24,823843,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6121,0.5701,0
2026-07-24,824248,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6173,0.6991,1
2026-07-24,824573,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6808,0.7229,0
2026-07-24,824733,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.7451,0.7803,1
2026-07-24,824812,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.626,0.5765,0
2026-07-25,822704,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5062,0.475,1
2026-07-25,822869,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.46209999999999996,0.493,1
2026-07-25,822948,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6728,0.6159,1
2026-07-25,823027,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.45089999999999997,0.4557,1
2026-07-25,823197,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.49970000000000003,0.5338,1
2026-07-25,823355,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5685,0.5911,0
2026-07-25,823435,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.3902,0.3857,0
2026-07-25,823600,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.3359,0.348,0
2026-07-25,823758,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.7132,0.7668,1
2026-07-25,823841,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5068,0.4746,0
2026-07-25,824244,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6689,0.7111,0
2026-07-25,824571,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6531,0.6878,0
2026-07-25,824734,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6924,0.77,0
2026-07-25,824811,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5787,0.5113,1
2026-07-26,822706,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.4354,0.4325,1
2026-07-26,822870,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.5464,0.5573,0
2026-07-26,822950,moneyline-v2-plus-runs-v1,v3.1-bullpen,0.6243,0.6143,1
