date,gamePk,side,team,pitcher_id,pitcher_name,role_label,era,whip,ip,so,bb,gs,gp,k9,bb9,era_score,whip_score,kbb_score,sample_score,raw_score,expected_innings,role_share_over5,pitcher_score_role_over5,pitcher_score_published
8/16/2026,823991,away,Kansas City Royals,702070,Noah Cameron,Traditional starter,4.26,1.24,135.33,121,43,23,24,8.05,2.86,63.8,69.4,51,70,64,5.6,1.12,66,66
8/16/2026,823991,home,Los Angeles Angels,696270,Ryan Johnson,Traditional starter,6.41,1.54,60.33,47,29,12,15,7.01,4.33,29.4,42.4,38.1,56.1,38,4.6,0.92,39,39
8/16/2026,823590,away,Washington Nationals,663623,Jake Irvin,Traditional starter,5.8,1.36,71.33,72,31,15,15,9.08,3.91,39.2,58.6,48.9,60,49,4.6,0.92,49,49
8/16/2026,823590,home,New York Mets,681035,Christian Scott,Traditional starter,3.51,1.29,84.67,105,35,18,18,11.16,3.72,75.8,64.9,58.3,64.6,68,4.6,0.92,67,66
8/16/2026,824880,away,Arizona Diamondbacks,647336,Michael Soroka,Traditional starter,2.93,1.11,92,88,21,17,17,8.61,2.05,85.1,81.1,58.1,67.2,76,5.4,1.08,78,78
8/16/2026,824880,home,Atlanta Braves,693821,Bryce Elder,Traditional starter,3.92,1.23,137.67,113,46,24,24,7.39,3.01,69.3,70.3,47.5,70,65,5.7,1.14,67,67
8/16/2026,824397,away,San Diego Padres,663554,Casey Mize,Traditional starter,3.27,1.08,99,93,24,19,19,8.45,2.18,79.7,83.8,56.7,69.7,75,5.2,1.04,76,76
8/16/2026,824397,home,Cleveland Guardians,676440,Tanner Bibee,Traditional starter,4.07,1.15,148,115,42,26,26,6.99,2.55,66.9,77.5,48.6,70,66,5.7,1.14,68,69
8/16/2026,823670,away,Philadelphia Phillies,691725,Andrew Painter,Traditional starter,6.43,1.55,85.33,71,34,16,18,7.49,3.59,29.1,41.5,44.4,64.9,41,4.5,0.9,42,41
8/16/2026,823670,home,Minnesota Twins,665152,Dean Kremer,Traditional starter,5.4,1.18,53.33,53,16,10,10,8.94,2.7,45.6,74.8,55.6,53.7,56,5,1,56,59
8/16/2026,824642,away,St. Louis Cardinals,690928,Hunter Dobbins,Traditional starter,3.42,1.3,50,49,21,7,10,8.82,3.78,77.3,64,48.6,52.5,65,5.1,1.02,65,65
8/16/2026,824642,home,Chicago Cubs,665795,Edward Cabrera,Traditional starter,5.68,1.45,76,67,32,15,15,7.93,3.79,41.1,50.5,45,61.6,47,5.1,1.02,47,47
8/16/2026,822774,away,New York Yankees,677960,Ryan Weathers,Traditional starter,3.56,1.19,134,140,38,24,24,9.4,2.55,75,73.9,58.3,70,71,5.5,1.1,73,72
8/16/2026,822774,home,Toronto Blue Jays,656302,Dylan Cease,Traditional starter,2.42,1.06,137.67,201,59,23,23,13.14,3.86,92,85.6,65.4,70,82,5.9,1.18,88,88
8/16/2026,823912,away,Milwaukee Brewers,701656,Logan Henderson,Traditional starter,2.77,0.88,61.67,74,11,12,12,10.8,1.61,87.7,92,69.6,56.6,80,5.1,1.02,81,80
8/16/2026,823912,home,Los Angeles Dodgers,669373,Tarik Skubal,Traditional starter,2.85,0.96,113.67,135,20,19,19,10.69,1.58,86.4,92,69.3,70,82,5.9,1.18,88,88
8/16/2026,822940,away,Baltimore Orioles,669432,Trevor Rogers,Traditional starter,4.15,1.25,125.67,108,35,23,23,7.73,2.51,65.6,68.5,51.9,70,64,5.5,1.1,65,65
8/16/2026,822940,home,Tampa Bay Rays,642547,Freddy Peralta,Traditional starter,5.27,1.48,128,123,53,25,25,8.65,3.73,47.7,47.8,48.2,70,51,5.1,1.02,51,51
8/16/2026,823182,away,Colorado Rockies,687312,Gabriel Hughes,Traditional starter,6.45,1.38,37.67,33,13,7,8,7.88,3.11,28.8,56.8,48.9,48.2,43,5,1,43,43
8/16/2026,823182,home,San Francisco Giants,694918,Blade Tidwell,Traditional starter,4.33,1.22,27,20,10,3,11,6.67,3.33,62.7,71.2,42.7,44.5,58,5,1,58,58
8/16/2026,824965,away,Texas Rangers,674003,Cody Bradford,Traditional starter,2.93,1.43,15.33,10,4,3,3,5.87,2.35,85.1,52.3,45.4,40.4,62,5.1,1.02,62,62
8/16/2026,824965,home,Athletics,682052,Jacob Lopez,Traditional starter,5.26,1.55,87.33,81,46,17,20,8.35,4.74,47.8,41.5,40.9,65.6,48,4.6,0.92,48,48
