date,game_pk,game,pick_team,direction_winner,direction_correct,submodel_strength_right,submodel_run_right,starter_favored_team,starter_gap,starter_held_up,starter_favored_era,starter_other_era,away_team,away_proj_runs,away_actual_runs,away_offense_diff,home_team,home_proj_runs,home_actual_runs,home_offense_diff,away_bullpen_flagged,away_bullpen_actual_er,away_bullpen_actual_era,home_bullpen_flagged,home_bullpen_actual_er,home_bullpen_actual_era,matchup_url
2026-08-04,824084,Minnesota Twins @ Kansas City Royals,Minnesota Twins,Kansas City Royals,0,0,0,Minnesota Twins,5,0,6.75,1.8,Minnesota Twins,4.7,2,-2.7,Kansas City Royals,2.3,8,5.7,0,3,10.13,0,1,2.25,/mlb/twins-vs-royals-prediction-odds-2026-08-04/
2026-08-04,824888,Miami Marlins @ Atlanta Braves,Atlanta Braves,Atlanta Braves,1,1,1,No clear pitching-plan edge,0,0,1.5,0,Miami Marlins,2.1,2,-0.1,Atlanta Braves,3.1,4,0.9,0,2,9,0,2,6,/mlb/marlins-vs-braves-prediction-odds-2026-08-04/
2026-08-04,822865,San Francisco Giants @ Texas Rangers,San Francisco Giants,Texas Rangers,0,0,0,No clear pitching-plan edge,2,1,0,3.6,San Francisco Giants,4.3,4,-0.3,Texas Rangers,3.8,5,1.2,0,3,7.36,1,3,9,/mlb/giants-vs-rangers-prediction-odds-2026-08-04/
2026-08-04,823432,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Philadelphia Phillies,1,1,1,Philadelphia Phillies,10,1,0,27,Washington Nationals,2.3,0,-2.3,Philadelphia Phillies,4.7,5,0.3,0,4,4.7,0,0,0,/mlb/nationals-vs-phillies-prediction-odds-2026-08-04/
2026-08-04,824403,New York Mets @ Cleveland Guardians,New York Mets,New York Mets,1,1,0,No clear pitching-plan edge,0,0,3.6,3,New York Mets,3.6,6,2.4,Cleveland Guardians,4.6,2,-2.6,0,0,0,0,1,2.25,/mlb/mets-vs-guardians-prediction-odds-2026-08-04/
2026-08-05,824158,Toronto Blue Jays @ Houston Astros,Houston Astros,Toronto Blue Jays,0,0,,Houston Astros,17,1,4.5,6.75,Toronto Blue Jays,,,,Houston Astros,,,,1,0,0,0,1,2.25,/mlb/blue-jays-vs-astros-prediction-odds-2026-08-05/
2026-08-05,824482,Athletics @ Cincinnati Reds,Cincinnati Reds,Cincinnati Reds,1,1,,Cincinnati Reds,5,1,3,3.6,Athletics,,,,Cincinnati Reds,,,,1,1,3,0,0,0,/mlb/athletics-vs-reds-prediction-odds-2026-08-05/
2026-08-05,824646,Los Angeles Dodgers @ Chicago Cubs,Chicago Cubs,Chicago Cubs,1,1,1,Chicago Cubs,18,1,1.8,13.5,Los Angeles Dodgers,3,6,3,Chicago Cubs,7.3,7,-0.3,0,1,2.25,0,5,11.25,/mlb/dodgers-vs-cubs-prediction-odds-2026-08-05/
2026-08-05,823753,Pittsburgh Pirates @ Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,1,0,Milwaukee Brewers,6,1,0,5.4,Pittsburgh Pirates,3.9,2,-1.9,Milwaukee Brewers,3.1,4,0.9,1,1,3,0,2,4.5,/mlb/pirates-vs-brewers-prediction-odds-2026-08-05/
2026-08-05,824402,New York Mets @ Cleveland Guardians,New York Mets,New York Mets,1,1,1,No clear pitching-plan edge,2,1,4.76,5.4,New York Mets,3.9,6,,Cleveland Guardians,3.2,5,,0,0,0,1,0,0,/mlb/mets-vs-guardians-prediction-odds-2026-08-05/
2026-08-05,824728,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1,,No clear pitching-plan edge,1,0,4.15,0,Chicago White Sox,,,,Boston Red Sox,,,,0,1,2.45,0,0,0,/mlb/white-sox-vs-red-sox-prediction-odds-2026-08-05/
2026-08-05,824082,Minnesota Twins @ Kansas City Royals,Kansas City Royals,Kansas City Royals,1,1,0,Kansas City Royals,13,1,1.13,1.8,Minnesota Twins,4.1,1,-3.1,Kansas City Royals,3.9,2,-1.9,0,1,3,0,0,0,/mlb/twins-vs-royals-prediction-odds-2026-08-05/
2026-08-05,825052,San Diego Padres @ Arizona Diamondbacks,San Diego Padres,Arizona Diamondbacks,0,0,0,San Diego Padres,21,0,21.6,0,San Diego Padres,5.1,4,-1.1,Arizona Diamondbacks,3.8,10,6.2,1,2,3.86,0,4,18,/mlb/padres-vs-diamondbacks-prediction-odds-2026-08-05/
2026-08-05,823106,Detroit Tigers @ Seattle Mariners,Detroit Tigers,Seattle Mariners,0,0,0,Seattle Mariners,9,1,0,0,Detroit Tigers,5.6,2,-3.6,Seattle Mariners,2.9,4,1.1,0,4,8.31,0,2,9,/mlb/tigers-vs-mariners-prediction-odds-2026-08-05/
2026-08-05,824322,Tampa Bay Rays @ Colorado Rockies,Tampa Bay Rays,Tampa Bay Rays,1,1,1,Tampa Bay Rays,18,1,0,5.4,Tampa Bay Rays,3.9,4,0.1,Colorado Rockies,3.9,0,-3.9,1,0,0,0,1,2.25,/mlb/rays-vs-rockies-prediction-odds-2026-08-05/
2026-08-05,822866,San Francisco Giants @ Texas Rangers,Texas Rangers,Texas Rangers,1,1,0,Texas Rangers,20,1,0,10.8,San Francisco Giants,5.1,0,-5.1,Texas Rangers,3.5,6,2.5,0,2,3.86,1,0,0,/mlb/giants-vs-rangers-prediction-odds-2026-08-05/
2026-08-05,824889,Miami Marlins @ Atlanta Braves,Atlanta Braves,Atlanta Braves,1,1,,No clear pitching-plan edge,3,0,7.2,1.29,Miami Marlins,,,,Atlanta Braves,,,,0,0,0,0,0,0,/mlb/marlins-vs-braves-prediction-odds-2026-08-05/
2026-08-05,823429,Washington Nationals @ Philadelphia Phillies,Philadelphia Phillies,Washington Nationals,0,0,0,Washington Nationals,11,0,3.38,2.25,Washington Nationals,3.2,10,,Philadelphia Phillies,5.1,4,,0,1,1.59,0,7,9,/mlb/nationals-vs-phillies-prediction-odds-2026-08-05/
2026-08-05,824806,Los Angeles Angels @ Baltimore Orioles,Baltimore Orioles,Baltimore Orioles,1,1,1,Los Angeles Angels,6,0,6.75,3,Los Angeles Angels,3.3,2,-1.3,Baltimore Orioles,4.6,5,0.4,0,2,4.5,0,0,0,/mlb/angels-vs-orioles-prediction-odds-2026-08-05/
2026-08-05,823516,St. Louis Cardinals @ New York Yankees,New York Yankees,St. Louis Cardinals,0,0,0,St. Louis Cardinals,6,1,1.69,5.06,St. Louis Cardinals,2.1,3,0.9,New York Yankees,3,1,-2,1,0,0,1,0,0,/mlb/cardinals-vs-yankees-prediction-odds-2026-08-05/
2026-08-06,824729,Chicago White Sox @ Boston Red Sox,Boston Red Sox,Boston Red Sox,1,1,,Boston Red Sox,19,1,9,11.25,Chicago White Sox,,,,Boston Red Sox,,,,0,3,3.24,0,3,2.7,/mlb/white-sox-vs-red-sox-prediction-odds-2026-08-06/
