date,gamePk,model_version,matchup,away_team,home_team,pick_team,status,winner,home_model_prob,home_pitcher_gap,home_pitcher,home_pitcher_score,away_pitcher,away_pitcher_score,home_era,away_era,home_woba,away_woba,home_bullpen_risk,away_bullpen_risk,home_strength_blend,away_strength_blend,home_woba_gap,home_bullpen_gap,home_pitcher_boost,home_pre_bullpen_odds,home_pre_bullpen_prob,home_bullpen_adj,home_money_line_odds,home_moneyline_prop
8/16/2026,824397,leo,San Diego Padres @ Cleveland Guardians,San Diego Padres,Cleveland Guardians,away team,watchlist,,0.1499,-7,Tanner Bibee,69,Casey Mize,76,5.09,3.24,0.3282,0.3358,76,69,0.5387,0.422,-0.0076,-7,0.3499,0.1801,0.1526,-0.021,0.1763,0.1499
8/16/2026,823670,leo,Philadelphia Phillies @ Minnesota Twins,Philadelphia Phillies,Minnesota Twins,home team,pass,,0.9674,18,Dean Kremer,59,Andrew Painter,41,4.31,4.48,0.3248,0.342,59,57,0.449,0.5438,-0.0172,-2,14.8797,29.8642,0.9676,-0.006,29.6748,0.9674
8/16/2026,824642,leo,St. Louis Cardinals @ Chicago Cubs,St. Louis Cardinals,Chicago Cubs,away team,pass,,0.041,-18,Edward Cabrera,47,Hunter Dobbins,65,4.25,4,0.3369,0.3339,44,47,0.5385,0.6078,0.003,3,0.0672,0.0423,0.0406,0.009,0.0428,0.041
8/16/2026,822774,leo,New York Yankees @ Toronto Blue Jays,New York Yankees,Toronto Blue Jays,home team,pass,,0.958,16,Dylan Cease,88,Ryan Weathers,72,2.9,3.9,0.2804,0.2882,98,60,0.5101,0.5704,-0.0078,-38,11.0232,25.5252,0.9623,-0.114,22.8095,0.958
8/16/2026,823912,leo,Milwaukee Brewers @ Los Angeles Dodgers,Milwaukee Brewers,Los Angeles Dodgers,home team,pass,,0.8691,8,Tarik Skubal,88,Logan Henderson,80,3.03,2.89,0.2946,0.2891,58,48,0.58,0.5789,0.0055,-10,3.3201,6.837,0.8724,-0.03,6.6394,0.8691
8/16/2026,822940,leo,Baltimore Orioles @ Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,away team,pass,,0.0848,-14,Freddy Peralta,51,Trevor Rogers,65,4.41,4.52,0.3416,0.3227,80,93,0.4844,0.5943,0.0189,13,0.1225,0.0891,0.0818,0.039,0.0927,0.0848
8/16/2026,823182,leo,Colorado Rockies @ San Francisco Giants,Colorado Rockies,San Francisco Giants,home team,pass,,0.9372,15,Blade Tidwell,58,Gabriel Hughes,43,4.11,4.06,0.2867,0.3395,55,61,0.422,0.4024,-0.0528,6,9.4877,14.674,0.9362,0.018,14.9236,0.9372
8/16/2026,824965,leo,Texas Rangers @ Athletics,Texas Rangers,Athletics,away team,pass,,0.0326,-14,Jacob Lopez,48,Cody Bradford,62,5.85,4.3,0.3051,0.2817,62,92,0.4646,0.3361,0.0234,30,0.1225,0.0308,0.0299,0.09,0.0337,0.0326
8/16/2026,824156,leo,Seattle Mariners @ Houston Astros,Seattle Mariners,Houston Astros,away team,pass,,0.1538,-8,Hunter Brown,64,Bryan Woo,72,3.72,4.9,0.3144,0.2999,78,75,0.4211,0.476,0.0145,-3,0.3012,0.1834,0.155,-0.009,0.1818,0.1538
8/16/2026,823344,leo,Boston Red Sox @ Pittsburgh Pirates,Boston Red Sox,Pittsburgh Pirates,home team,pass,,0.9775,21,Lake Bachar,65,Patrick Sandoval,44,4.17,3.55,0.2983,0.3485,74,48,0.4629,0.5561,-0.0502,-26,20.0855,47.0769,0.9792,-0.078,43.4444,0.9775
8/16/2026,824236,leo,Chicago White Sox @ Detroit Tigers,Chicago White Sox,Detroit Tigers,home team,pass,,0.5844,0,Drew Anderson,77,Sean Burke,77,3.42,3.81,0.3375,0.3369,59,100,0.5542,0.5371,0.0006,41,1,1.2432,0.5542,0.123,1.4062,0.5844
8/17/2026,824478,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,away team,official_pick,,0.0103,-20,Rhett Lowder,50,Andre Pallante,70,5.17,3.56,0.2842,0.3314,87,51,0.5707,0.3866,-0.0472,-36,0.0498,0.0115,0.0114,-0.108,0.0104,0.0103
8/17/2026,823427,leo,Miami Marlins @ Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,home team,value_watch,,0.9839,27,Cristopher Sánchez,86,Janson Junk,59,3.04,4.2,0.3443,0.3091,54,67,0.5177,0.5163,0.0352,13,20.0855,58.5238,0.9832,0.039,61.1118,0.9839
8/17/2026,824514,leo,St. Louis Cardinals @ Cincinnati Reds,St. Louis Cardinals,Cincinnati Reds,away team,official_pick,,0.0333,-14,Kent Emanuel,42,Quinn Mathews,56,5.21,3.8,0.2842,0.3314,87,51,0.5707,0.3866,-0.0472,-36,0.1225,0.0383,0.0369,-0.108,0.0344,0.0333
8/17/2026,824641,leo,Chicago White Sox @ Chicago Cubs,Chicago White Sox,Chicago Cubs,home team,value_watch,,0.9815,18,Shota Imanaga,75,Luis Castillo,57,4.21,4.48,0.3396,0.3476,73,94,0.577,0.5366,-0.008,21,14.8797,50.0204,0.9804,0.063,53.0541,0.9815
8/17/2026,823589,leo,San Diego Padres @ New York Mets,San Diego Padres,New York Mets,home team,watchlist,,0.9841,22,Nolan McLean,76,Walker Buehler,54,3.12,3.87,0.3517,0.3371,45,62,0.5178,0.5679,0.0146,17,20.0855,58.5238,0.9832,0.051,61.8931,0.9841
8/17/2026,823668,leo,Atlanta Braves @ Minnesota Twins,Atlanta Braves,Minnesota Twins,away team,watchlist,,0.0772,-11,Bailey Ober,61,Martín Pérez,72,4.52,4.04,0.3246,0.3064,84,58,0.564,0.4494,0.0182,-26,0.192,0.0904,0.0829,-0.078,0.0837,0.0772
8/17/2026,824077,leo,Athletics @ Kansas City Royals,Athletics,Kansas City Royals,home team,pass,,0.9749,32,Michael Wacha,75,Mason Barnett,43,4.23,5.83,0.2703,0.3038,41,60,0.4017,0.3973,-0.0335,19,20.0855,36.594,0.9734,0.057,38.8406,0.9749
8/17/2026,822939,leo,Baltimore Orioles @ Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays,home team,pass,,0.8005,5,Shane McClanahan,74,Brandon Young,69,4.27,4.38,0.3506,0.3339,86,88,0.5947,0.4839,0.0167,2,2.117,3.99,0.7996,0.006,4.0125,0.8005
