date,gamePk,matchup,pick_team,opp_team,status,result,lab_score_published,model_prob,strength_prob_pick,run_prob_pick,pick_pitcher_score,opp_pitcher_score,pick_bullpen_risk,opp_bullpen_risk,assigned_bullpen_innings,pick_woba_15d,opp_woba_15d,pick_woba_30d,opp_woba_30d,pitch_gap,pitch_edge_supports
2026-09-01,825038,Philadelphia Phillies @ Arizona Diamondbacks,Philadelphia Phillies,Arizona Diamondbacks,pass,,63,0.5113,0.5226,0.1272,76,75,70,61,3,0.3289,0.3082,0.337,0.3221,1,FALSE
2026-09-01,824391,Toronto Blue Jays @ Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,pass,,61,0.5648,0.6296,0.6552,76,71,57,57,6,0.35,0.3211,0.31,0.3167,5,TRUE
2026-09-01,824472,San Diego Padres @ Cincinnati Reds,San Diego Padres,Cincinnati Reds,pass,,52,0.718,0.9361,0.1331,63,48,68,81,3.9,0.2986,0.3164,0.3185,0.305,15,TRUE
2026-09-01,824313,Baltimore Orioles @ Colorado Rockies,Baltimore Orioles,Colorado Rockies,pass,,49,0.7365,0.9731,0.2201,60,40,60,62,3.5,0.3033,0.3065,0.3177,0.3175,20,TRUE
2026-09-01,822854,Athletics @ Texas Rangers,Texas Rangers,Athletics,pass,,46,0.5439,0.5878,0.2091,63,60,70,56,3.7,0.3318,0.3097,0.3039,0.3069,3,FALSE
2026-09-01,823661,Detroit Tigers @ Minnesota Twins,Detroit Tigers,Minnesota Twins,pass,,45,0.7305,0.961,,80,49,56,35,2.9,0.2507,0.3249,0.2925,0.3248,31,TRUE
2026-09-01,823908,St. Louis Cardinals @ Los Angeles Dodgers,St. Louis Cardinals,Los Angeles Dodgers,pass,,42,0.5664,0.6328,0.3973,65,58,77,52,3.5,0.2981,0.3155,0.3162,0.3041,7,TRUE
2026-09-01,823340,San Francisco Giants @ Pittsburgh Pirates,Pittsburgh Pirates,San Francisco Giants,pass,,41,0.5445,0.589,,72,70,69,70,3.6,0.2717,0.3136,0.2863,0.2955,2,FALSE
2026-09-01,822929,New York Mets @ Tampa Bay Rays,New York Mets,Tampa Bay Rays,pass,,39,0.5766,0.6533,0.6396,60,54,64,63,3.3,0.2929,0.3009,0.3235,0.3262,6,TRUE
2026-09-01,822687,Atlanta Braves @ Washington Nationals,Washington Nationals,Atlanta Braves,pass,,34,0.6802,0.8605,0.2022,49,36,91,56,4.2,0.3,0.2975,0.3059,0.3017,13,TRUE
2026-09-01,824716,Seattle Mariners @ Boston Red Sox,Seattle Mariners,Boston Red Sox,pass,,33,0.7208,0.9415,0.7012,68,22,78,85,3.3,0.2829,0.3466,0.2948,0.3489,46,TRUE
2026-09-02,823983,New York Yankees @ Los Angeles Angels,New York Yankees,Los Angeles Angels,official_pick,,84,0.6903,0.8807,,84,74,64,70,3.2,0.3349,0.2933,0.3186,0.2806,10,TRUE
2026-09-02,824390,Toronto Blue Jays @ Cleveland Guardians,Toronto Blue Jays,Cleveland Guardians,watchlist,,66,0.7178,0.9356,0.6452,82,62,76,47,3,0.3353,0.3256,0.3082,0.3184,20,TRUE
2026-09-02,823906,St. Louis Cardinals @ Los Angeles Dodgers,Los Angeles Dodgers,St. Louis Cardinals,pass,,64,0.7326,0.9651,0.6558,82,50,65,71,2.4,0.3033,0.3116,0.3059,0.3258,32,TRUE
2026-09-02,824470,San Diego Padres @ Cincinnati Reds,San Diego Padres,Cincinnati Reds,pass,,63,0.7326,0.9651,,71,36,63,75,,0.3069,0.32,0.3208,0.2998,35,TRUE
2026-09-02,825037,Philadelphia Phillies @ Arizona Diamondbacks,Arizona Diamondbacks,Philadelphia Phillies,pass,,60,0.7258,0.9516,0.2448,77,47,64,52,4.5,0.3127,0.3271,0.3247,0.3337,30,TRUE
2026-09-02,822931,New York Mets @ Tampa Bay Rays,Tampa Bay Rays,New York Mets,pass,,60,0.7306,0.9613,0.6641,69,50,61,56,4.4,0.298,0.2924,0.3294,0.3224,19,TRUE
2026-09-02,824634,Milwaukee Brewers @ Chicago Cubs,Milwaukee Brewers,Chicago Cubs,pass,,53,0.7222,0.9443,0.394,86,51,72,66,3,0.3653,0.3935,0.3315,0.3743,35,TRUE
2026-09-02,822686,Atlanta Braves @ Washington Nationals,Washington Nationals,Atlanta Braves,pass,,47,0.5545,0.609,,67,64,91,60,,0.304,0.2991,0.3108,0.2997,3,FALSE
2026-09-02,824312,Baltimore Orioles @ Colorado Rockies,Baltimore Orioles,Colorado Rockies,pass,,46,0.6917,0.8833,0.0808,63,53,55,75,3.5,0.2919,0.3187,0.3184,0.3185,10,TRUE
2026-09-02,823339,San Francisco Giants @ Pittsburgh Pirates,San Francisco Giants,Pittsburgh Pirates,pass,,46,0.5207,0.5414,0.5,61,59,100,76,3.6,0.3269,0.2947,0.303,0.2985,2,FALSE
2026-09-02,822851,Athletics @ Texas Rangers,Texas Rangers,Athletics,pass,,43,0.5525,0.6051,,57,54,71,77,,0.3363,0.3102,0.3092,0.3124,3,FALSE
2026-09-02,824717,Seattle Mariners @ Boston Red Sox,Seattle Mariners,Boston Red Sox,pass,,41,0.7204,0.9408,0.8412,69,50,82,96,3.4,0.2982,0.3363,0.2979,0.3468,19,TRUE
2026-09-02,824068,Miami Marlins @ Kansas City Royals,Miami Marlins,Kansas City Royals,pass,,33,0.5835,0.667,0.76,72,66,76,39,3.6,0.2906,0.3571,0.3075,0.3248,6,TRUE
2026-09-02,823660,Detroit Tigers @ Minnesota Twins,Detroit Tigers,Minnesota Twins,pass,,25,0.6769,0.8538,0.8358,64,53,68,61,4.8,0.2349,0.3384,0.2852,0.33,11,TRUE
2026-09-02,824147,Chicago White Sox @ Houston Astros,Houston Astros,Chicago White Sox,pass,,25,0.5092,0.5185,0.1309,63,61,88,63,3.6,0.2866,0.3197,0.29,0.3302,2,FALSE
