through,market,n,proj_mae,proj_bias,rate_projected,rate_actual,rate_bias,vol_projected,vol_actual,vol_bias,rate_effect_yds,volume_effect_yds,dominant,adj_mean,mae_with_adj,mae_without_adj,beat_line_pct,our_mae,line_mae
2026-09-23,QB_PASS_YARDS,34,79.56,-6.44,7.11,7.27,0.16,29.38,27.97,-1.41,54.61,54.81,volume,0.99,79.56,77.69,32.35,79.56,71.53
2026-09-23,RB_RUSH_YARDS,64,24.56,-10.41,4.12,3.75,-0.37,10.7,9.8,-0.9,13.07,14.23,volume,1,24.56,23.68,30.51,25.14,19.26
2026-09-23,WR_REC_YARDS,92,31.66,2.62,8.14,8.6,0.46,5.35,5.36,0.01,25.49,19.92,rate,0.99,31.66,31.8,40.7,32.63,28.45
