season,week,games_seen,home_win,market_logit,margin_diff,qb_diff,off_diff,def_diff,to_diff,h2h_net,home_price,away_price
2023,2,1,1,0.7310299485401845,10.312820512820512,0.2733615919577146,0.9423550820813976,1.61280821678559,5,1.558,-238,195
2023,2,1,1,0.2902593934660813,-0.29565217391304355,-0.8517002421941424,-0.4026123905817168,-0.5118984013856162,1,-0.348,-148,124
2023,2,1,1,1.0868214372568055,6.363768115942029,-0.22062831109513614,-0.18436229619129257,1.691239085678002,-1,0.274,-355,280
2023,2,1,0,0.4441029008135785,-1.7306666666666661,0.4595586385631055,-0.10029636326335929,-0.35336871670019065,3,0.39,-175,145
2023,2,1,0,0.6520630971900706,7.6347826086956525,0.39532875274282453,0.7982390771333949,0.1768612275142778,0,0.397,-218,180
2023,2,1,0,0,1.8434782608695643,-0.052205940990563304,0.10815584514692511,-0.41904549234296984,0,-0.109,-110,-110
2023,2,1,0,-0.4211440182204822,2.292307692307692,-1.0161207639784107,-1.1595358096036055,0.6722883667004755,2,-0.115,142,-170
2023,2,1,1,0.20649509332803073,9.634782608695652,1.9480795425235051,0.26340973974775006,1.5626210990128406,4,1.594,-135,114
2023,2,1,1,-0.25534669180884456,0.6144927536231883,-1.6110820140137938,-1.2915608631615336,1.042315583813155,-1,-0.604,120,-142
2023,2,1,0,-0.6795942141552419,7.03513043478261,-0.010686060881021864,-0.647735289280392,1.4627101372979112,3,0.67,185,-225
2023,2,1,0,-1.050503710348079,-7.178595317725751,-1.5118409605185035,-1.1488410477568376,-1.7610595430298146,-1,-1.405,270,-340
2023,2,1,1,1.1526795099383862,14.610086956521739,1.0297674139956319,1.0171987095235333,1.0304851493494418,2,1.162,-380,300
2023,2,1,0,0.561952461347356,-0.6000000000000001,0.6546511288680874,0.491487632836977,-0.7782507098829592,2,0.348,-198,164
2023,2,1,0,-0.17139248626176423,0.4942028985507245,-1.1020154638308073,-1.44216049576597,1.5287481403414227,1,-0.098,110,-130
2023,2,1,0,-0.44410290081357806,-0.6173913043478265,-1.4630060584030395,-0.3813567918094477,-1.1314634451319974,-4,-1.38,145,-175
2023,2,1,1,-0.29025939346608154,-7.42608695652174,-0.018190071204769953,-0.2679627303459986,-0.6854139290954286,3,0.12,124,-148
2023,3,2,1,1.438079660437415,18.93897435897436,1.4757551122957107,1.4326652679564216,2.547219727634119,3,2.008,-535,400
2023,3,2,0,1.1526795099383862,9.830917874396135,0.9196201019752536,1.4029929189451273,0.2053875320488721,-1,0.579,-380,300
2023,3,2,1,0.5000307258401198,5.688405797101449,0.11902440010384974,0.08714438416855347,0.7973642637326231,-2,0.023,-185,154
2023,3,2,1,0.40396021692874423,0.6956521739130435,1.1925799469988736,0.5152064019631558,-0.7896809334910122,-2.5,-0.149,-166,140
2023,3,2,1,-0.13005312824819792,5.239130434782609,0.7807615992683319,0.8422643680541563,-1.2032596576383927,0.5,0.145,105,-125
2023,3,2,0,1.1526795099383862,11.905797101449275,0.7653710791079008,0.9555494635695428,0.8528025709622693,1.5,0.954,-380,300
2023,3,2,1,0.7786693539981074,7.334541062801932,1.2007886200439348,1.662362446212808,-0.04585575873059505,-0.5,0.719,-250,205
2023,3,2,0,0,0.6666666666666665,0.32999473391100587,-0.6554619673379859,0.300365393990888,-2.5,-0.381,-110,-110
2023,3,2,0,-0.25534669180884456,1.2608695652173916,-1.4468618759788956,-0.786493721564924,0.06871294342224016,1,-0.43,120,-142
2023,3,2,0,-0.756326082181477,-5.5567632850241555,-1.317774088387136,-1.1781473585561035,-0.1529379204889093,0,-0.729,200,-245
2023,3,2,1,0.6795942141552417,3.5072463768115947,2.061309438008201,1.3865290828458057,-0.8321420475310543,2.5,1.017,-225,185
2023,3,2,1,-1.597365331199831,-16.03739130434783,-1.09283823695167,-1.078926089716801,-2.409278319150204,-3.5,-1.834,470,-650
2023,3,2,1,1.7074183207943046,15.452062430323302,3.0199495498277864,1.942685302778512,2.0477431645937076,0.5,2.032,-750,525
2023,3,2,0,0.2902593934660813,2.4347826086956523,1.280266438450356,0.904676679406559,-1.5591707255901892,-4,-0.456,-148,124
2023,3,2,0,-0.8038287100120177,-4.038461538461538,0.10303807471688053,-0.8528447918099588,-0.21131689076401794,0,-0.305,210,-258
2023,3,2,1,0.3779134505088062,1.9031884057971014,0.8059769078773451,0.0368999630412809,0.24868835793348637,1,0.422,-162,136
2023,4,3,0,-0.25534669180884456,3.1863354037267086,-0.5509553213907812,-0.1953534937250288,0.32000331269933363,1.67,0.14,120,-142
2023,4,3,1,0.5000307258401198,1,0.467956878617095,-0.11319664753401479,0.23190086352596548,0,0.149,-185,154
2023,4,3,1,0.2553466918088444,5.19047619047619,-0.9741517387534755,-1.0544139903973533,1.883547402900066,0.6699999999999999,0.117,-142,120
2023,4,3,0,-0.6795942141552419,0.18426501035196674,-1.5279593866934311,-0.5496746234549241,0.4241241403424768,0.34,-0.358,185,-225
2023,4,3,0,-0.3779134505088058,0,-1.576092241076808,-0.5086901883491011,-0.37493482567010106,0.32999999999999996,-0.606,136,-162
2023,4,3,0,-0.20649509332803068,4.36231884057971,-0.18855442083284613,-0.37368924178012064,0.6884285508854446,-1,-0.088,114,-135
2023,4,3,1,-0.3779134505088058,1.2608695652173911,0.18015566423151136,-0.19295928002915064,-1.023657052202982,-1.33,-0.52,136,-162
2023,4,3,0,-0.04334372921647221,0.15527950310559047,0.031040743809438776,-0.9431461811407449,0.49285022592265026,2.34,0.195,-105,-115
2023,4,3,0,0.5959499755412798,4.29192546583851,-0.6028281417358703,-0.005621473954176115,0.6438670932386398,-0.6699999999999999,-0.041,-205,170
2023,4,3,1,1.3054067019807902,14.629240324892496,1.5435233268650717,1.6981668649711623,0.5302639945646517,3,1.481,-455,350
2023,4,3,1,-0.3779134505088058,-1.8486956521739133,-1.0160725677837528,-0.5724623578269911,-0.20071746786817085,0,-0.484,136,-162
2023,4,3,1,0.9731781062762064,7.188405797101449,1.1242426919920092,1.2651884702713025,0.5527970682340317,3,1.253,-310,250
2023,4,3,1,0.8931683144533004,13.087950310559005,0.4474387903622762,1.0146457696736821,0.8545383813625274,3,1.107,-285,230
2023,4,3,1,1.9924301646902072,15.20831342570473,1.3838097524378734,1.3749644318695842,1.3638790654600503,0.33000000000000007,1.227,-1100,700
2023,4,3,0,-1.3600995524216395,-9.66698518872432,-2.99054492039053,-2.6045721937070554,-0.3253872540731587,0.33,-1.58,370,-485
2023,4,3,0,-0.25534669180884456,-5.497142857142857,-1.5278347323231942,-1.084062275676501,-0.46782244066453027,-2,-1.128,120,-142
2023,5,4,0,0.8038287100120176,8.375,0.36486732418565193,-0.00350433972465114,1.9170226892682358,0.5,0.751,-258,210
2023,5,4,0,0.7786693539981074,15.395833333333334,1.239266050661399,1.3884792691711794,1.2829744590377368,0.75,1.231,-250,205
2023,5,4,1,0.2553466918088444,0.30434782608695654,-0.7040865426579465,0.11059879026926445,-0.16897730770986868,-1.25,-0.362,-142,120
2023,5,4,1,1.3054067019807902,10.402173913043478,1.789409499311236,1.4018347875255106,0.1791682377633293,-0.25,0.885,-455,350
2023,5,4,1,-0.25534669180884456,-0.17391304347826075,0.11865619763071211,-0.315287326886008,-0.003327798697702139,0.75,0.035,120,-142
2023,5,4,1,1.7074183207943046,16.414166666666667,2.4928197459340296,2.481229690398809,0.6004070180685529,2,1.834,-750,525
2023,5,4,0,0.20649509332803073,-0.7173913043478266,-0.2210918675913302,-0.14762424644749428,-0.060213024258029435,-0.75,-0.222,-135,114
2023,5,4,1,-0.7036973914550977,-9.32427536231884,-1.1829606861109512,-0.9962108735324475,-1.0529476822170545,1.5,-0.709,190,-230
2023,5,4,0,-0.4211440182204822,1.0019565217391309,0.23630511953591313,0.5029827743654792,-0.4269376015919871,0,0.08,142,-170
2023,5,4,0,-0.5362530147869359,-4.4962374581939795,-1.413734743365246,-0.8207469424672711,-0.8323325883459909,-2.25,-1.167,160,-192
2023,5,4,0,0.20649509332803073,-2.1304347826086962,1.5301495628980792,1.0629443279351691,-1.4166647036940412,-0.5,0.188,-135,114
2023,5,4,0,-0.474457979595116,-6.7339743589743595,-0.4961734943907298,-1.1454762621882826,-0.839615899670926,0,-0.734,150,-180
2023,5,4,1,0.4744579795951159,0.5292307692307698,1.1692768928320134,1.1468670598587984,-1.049518369531122,-1.75,0.066,-180,150
2023,5,4,1,0.06948444579350904,-3.266304347826087,-0.551081618559626,-0.6331491014849998,-0.8174734199092624,-2.5,-0.932,-118,-102
2023,6,5,1,1.5973653311998304,18.19026384243776,1.0415593893253552,1.2985403776589772,1.4907044922537152,-0.4,1.059,-650,470
2023,6,5,0,-0.7786693539981077,-4.066022544283413,-0.5414773837792967,-0.28110656649956833,-1.4145754983907624,0.8,-0.544,205,-250
