through,market,bucket,n,mae
2026-09-21,QB_PASS_YARDS,1 game,30,71.5
2026-09-21,RB_RUSH_YARDS,1 game,56,24.07
2026-09-21,WR_REC_YARDS,1 game,84,29.13
