range,games,wins,expected_win_rate,actual_win_rate
50-55%,45,21,0.526,0.467
55-60%,35,17,0.574,0.486
60-65%,19,10,0.626,0.526
65-70%,29,20,0.679,0.69
70-75%,100,63,0.727,0.63
